Date Time,Voltage RMS Min (V),Voltage RMS Avg (V),Voltage RMS Max (V),Current RMS Min (A),Current RMS Avg (A),Current RMS Max (A),Real Power Min (kW),Real Power Avg (kW),Real Power Max (kW),Reactive Power Min (kVAR),Reactive Power Avg (kVAR),Reactive Power Max (kVAR),Apparent Power Min (kVA),Apparent Power Avg (kVA),Apparent Power Max (kVA),Frequency Min (Hz),Frequency Avg (Hz),Frequency Max (Hz)
2023/08/04 10:15:00,202.0,203.1,212.6,1.443,26.943,28.902,0.047,5.424,5.833,-0.551,-0.522,-0.29,0.306,5.459,5.861,60.022,60.032,60.037
2023/08/04 10:16:00,202.0,202.5,203.0,28.582,28.776,28.994,5.761,5.8,5.844,-0.542,-0.535,-0.53,5.789,5.828,5.872,60.019,60.027,60.035
2023/08/04 10:17:00,201.7,202.1,202.7,28.478,28.776,28.983,5.737,5.79,5.843,-0.537,-0.531,-0.525,5.764,5.818,5.87,60.015,60.025,60.034
2023/08/04 10:18:00,201.9,202.3,202.9,28.49,28.765,28.994,5.734,5.795,5.841,-0.539,-0.532,-0.526,5.761,5.823,5.87,60.015,60.027,60.039
2023/08/04 10:19:00,201.9,202.3,202.7,28.524,28.753,28.994,5.745,5.79,5.847,-0.537,-0.531,-0.526,5.772,5.818,5.874,60.017,60.024,60.033
2023/08/04 10:20:00,201.9,202.3,202.7,28.513,28.765,29.005,5.737,5.792,5.84,-0.537,-0.531,-0.526,5.766,5.82,5.868,60.01,60.025,60.037
2023/08/04 10:21:00,201.5,202.2,202.7,28.547,28.776,29.028,5.73,5.791,5.848,-0.537,-0.529,-0.522,5.757,5.819,5.877,60.011,60.021,60.034
2023/08/04 10:22:00,202.0,202.4,203.0,28.536,28.776,29.017,5.748,5.798,5.846,-0.538,-0.531,-0.525,5.779,5.826,5.876,60.008,60.019,60.029
2023/08/04 10:23:00,201.4,202.2,202.9,28.536,28.765,29.017,5.731,5.791,5.847,-0.536,-0.53,-0.523,5.758,5.819,5.876,60.004,60.017,60.03
2023/08/04 10:24:00,201.6,202.1,202.8,28.501,28.765,29.005,5.732,5.787,5.848,-0.536,-0.528,-0.522,5.761,5.814,5.877,59.999,60.021,60.035
2023/08/04 10:25:00,201.7,202.2,202.7,28.536,28.753,28.96,5.736,5.788,5.834,-0.536,-0.529,-0.524,5.762,5.815,5.861,60.014,60.024,60.032
2023/08/04 10:26:00,201.5,202.0,202.6,28.536,28.765,28.983,5.734,5.786,5.824,-0.534,-0.528,-0.521,5.761,5.814,5.852,60.01,60.016,60.022
2023/08/04 10:27:00,201.6,202.1,202.6,28.524,28.765,28.983,5.738,5.788,5.828,-0.534,-0.528,-0.521,5.765,5.815,5.857,60.016,60.029,60.039
2023/08/04 10:28:00,201.4,201.9,202.4,28.467,28.776,28.983,5.714,5.782,5.823,-0.534,-0.527,-0.521,5.742,5.81,5.849,60.02,60.026,60.032
2023/08/04 10:29:00,201.2,201.7,202.3,28.387,28.753,29.005,5.697,5.775,5.827,-0.532,-0.526,-0.519,5.724,5.803,5.854,60.024,60.032,60.039
2023/08/04 10:30:00,201.1,201.6,202.1,28.433,28.776,29.063,5.703,5.775,5.831,-0.531,-0.525,-0.517,5.729,5.803,5.859,60.015,60.027,60.038
2023/08/04 10:31:00,201.2,201.7,202.3,28.41,28.765,29.005,5.71,5.776,5.825,-0.532,-0.525,-0.517,5.737,5.803,5.853,60.013,60.025,60.035
2023/08/04 10:32:00,201.1,201.7,202.2,28.41,28.776,29.028,5.698,5.779,5.825,-0.53,-0.525,-0.518,5.723,5.806,5.853,60.012,60.022,60.029
2023/08/04 10:33:00,200.9,201.6,202.2,28.501,28.788,29.04,5.712,5.777,5.82,-0.531,-0.523,-0.515,5.74,5.804,5.848,60.01,60.018,60.025
2023/08/04 10:34:00,201.0,201.6,202.0,28.467,28.776,29.017,5.704,5.775,5.821,-0.529,-0.524,-0.518,5.731,5.802,5.85,60.002,60.007,60.012
2023/08/04 10:35:00,200.7,201.3,201.8,28.433,28.765,29.063,5.691,5.766,5.822,-0.529,-0.522,-0.515,5.717,5.793,5.848,60.001,60.01,60.018
2023/08/04 10:36:00,200.7,201.2,201.7,28.375,28.776,29.063,5.679,5.765,5.822,-0.527,-0.521,-0.514,5.708,5.792,5.848,59.995,60.014,60.022
2023/08/04 10:37:00,200.8,201.2,201.8,28.387,28.776,29.051,5.688,5.766,5.821,-0.527,-0.521,-0.515,5.714,5.792,5.847,60.009,60.021,60.03
2023/08/04 10:38:00,200.5,201.0,201.6,28.41,28.776,29.074,5.693,5.76,5.823,-0.527,-0.52,-0.513,5.719,5.786,5.851,60.002,60.016,60.029
2023/08/04 10:39:00,200.7,201.2,201.8,28.398,28.788,29.086,5.695,5.769,5.829,-0.528,-0.521,-0.513,5.723,5.796,5.856,60.014,60.021,60.033
2023/08/04 10:40:00,200.9,201.3,201.7,28.444,28.776,29.074,5.694,5.767,5.823,-0.527,-0.521,-0.516,5.724,5.794,5.852,60.004,60.016,60.027
2023/08/04 10:41:00,200.6,201.1,201.7,28.398,28.776,29.086,5.687,5.763,5.825,-0.527,-0.52,-0.514,5.713,5.79,5.852,60.013,60.021,60.029
