Trigger_Date,2023/08/04
Trigger_Time,T 11:24:12.466 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.562
Time (ms),Voltage (V),Current (A)
-16.67,2.457,2.039
-16.64,4.808,2.509
-16.61,6.984,2.99
-16.57,9.862,3.482
-16.54,13.547,4.032
-16.51,17.723,4.513
-16.48,21.513,4.937
-16.44,23.97,5.453
-16.41,25.198,6.278
-16.38,26.462,7.389
-16.35,28.497,8.523
-16.31,31.375,9.76
-16.28,34.85,11.078
-16.25,38.956,12.177
-16.22,43.378,12.991
-16.18,47.94,13.666
-16.15,52.608,14.193
-16.12,57.135,14.48
-16.09,61.382,14.686
-16.05,65.453,14.858
-16.02,69.383,15.007
-15.99,72.998,15.144
-15.96,76.297,15.259
-15.92,79.42,15.476
-15.89,82.579,15.82
-15.86,85.667,16.095
-15.83,88.686,16.485
-15.79,91.844,16.989
-15.76,95.038,17.458
-15.73,98.232,17.905
-15.69,101.425,18.375
-15.66,104.689,18.856
-15.63,108.093,19.406
-15.6,111.603,19.944
-15.56,115.007,20.483
-15.53,118.517,21.009
-15.5,121.921,21.41
-15.47,125.185,21.674
-15.43,128.308,22.086
-15.4,131.747,22.705
-15.37,135.117,23.049
-15.34,138.451,23.667
-15.3,141.96,24.194
-15.27,145.189,24.469
-15.24,147.961,24.572
-15.21,150.629,24.71
-15.17,153.542,25.053
-15.14,156.454,25.431
-15.11,159.192,25.832
-15.08,161.964,26.382
-15.04,165.088,26.966
-15.01,168.317,27.459
-14.98,171.23,27.745
-14.95,173.897,28.032
-14.91,176.669,28.272
-14.88,179.372,28.513
-14.85,182.074,28.879
-14.82,184.846,29.315
-14.78,187.584,29.658
-14.75,190.216,29.956
-14.72,192.673,30.174
-14.69,194.954,30.277
-14.65,197.025,30.392
-14.62,199.13,30.609
-14.59,201.306,30.987
-14.56,203.587,31.423
-14.52,205.939,31.743
-14.49,208.395,32.041
-14.46,210.571,32.19
-14.43,212.186,32.328
-14.39,214.081,32.511
-14.36,216.292,32.809
-14.33,218.538,33.221
-14.29,220.714,33.611
-14.26,222.784,33.977
-14.23,225.171,34.401
-14.2,227.417,34.573
-14.16,229.207,34.55
-14.13,231.032,34.722
-14.1,233.138,35.02
-14.07,235.313,35.352
-14.03,237.068,35.547
-14.0,238.788,35.81
-13.97,240.999,36.257
-13.94,243.105,36.417
-13.9,244.684,36.452
-13.87,246.053,36.417
-13.84,247.913,36.761
-13.81,250.124,37.173
-13.77,251.878,37.334
-13.74,253.317,37.448
-13.71,255.002,37.723
-13.68,256.757,37.769
-13.64,257.95,37.654
-13.61,259.108,37.826
-13.58,260.757,38.124
-13.55,262.231,38.273
-13.51,263.53,38.456
-13.48,264.828,38.594
-13.45,266.022,38.628
-13.42,267.18,38.628
-13.38,268.163,38.651
-13.35,269.25,38.811
-13.32,270.444,39.018
-13.29,271.602,39.224
-13.25,272.865,39.476
-13.22,274.023,39.682
-13.19,275.357,39.831
-13.16,276.515,39.911
-13.12,277.603,39.98
-13.09,278.656,40.037
-13.06,279.639,40.083
-13.02,280.656,40.198
-12.99,281.779,40.415
-12.96,282.832,40.553
-12.93,283.64,40.564
-12.89,284.306,40.495
-12.86,284.903,40.358
-12.83,285.254,40.163
-12.8,285.394,40.003
-12.76,285.64,40.003
-12.73,286.272,40.381
-12.7,286.658,40.266
-12.67,286.552,40.094
-12.63,286.798,40.289
-12.6,287.254,40.186
-12.57,287.325,40.117
-12.54,287.079,39.9
-12.5,286.903,39.865
-12.47,287.149,40.037
-12.44,287.325,40.106
-12.41,287.325,40.129
-12.37,287.325,40.129
-12.34,287.325,39.991
-12.31,287.149,39.774
-12.28,286.763,39.567
-12.24,286.447,39.556
-12.21,286.412,39.625
-12.18,286.201,39.59
-12.15,285.78,39.419
-12.11,285.114,39.121
-12.08,284.271,38.743
-12.05,283.289,38.376
-12.02,282.306,38.124
-11.98,281.393,38.101
-11.95,280.727,38.216
-11.92,280.095,38.216
-11.89,279.218,38.055
-11.85,278.165,37.769
-11.82,277.077,37.391
-11.79,275.813,37.036
-11.75,274.515,36.772
-11.72,273.251,36.646
-11.69,272.163,36.578
-11.66,271.04,36.486
-11.62,269.882,36.337
-11.59,268.584,36.085
-11.56,267.075,35.741
-11.53,265.565,35.398
-11.49,263.986,35.1
-11.46,262.477,34.894
-11.43,260.898,34.687
-11.4,259.283,34.504
-11.36,257.845,34.39
-11.33,256.441,34.195
-11.3,254.756,33.897
-11.27,253.072,33.622
-11.23,251.562,33.439
-11.2,249.983,33.164
-11.17,248.158,32.809
-11.14,246.439,32.648
-11.1,244.965,32.545
-11.07,243.315,32.305
-11.04,241.455,31.972
-11.01,239.665,31.732
-10.97,238.051,31.571
-10.94,236.472,31.342
-10.91,234.541,31.056
-10.88,232.751,30.873
-10.84,231.172,30.609
-10.81,229.277,30.174
-10.78,227.066,29.716
-10.75,224.925,29.383
-10.71,222.96,29.063
-10.68,220.819,28.776
-10.65,218.678,28.57
-10.62,216.783,28.433
-10.58,214.888,28.215
-10.55,212.712,27.78
-10.52,210.466,27.299
-10.49,208.29,26.943
-10.45,205.798,26.646
-10.42,203.482,26.382
-10.39,201.482,26.142
-10.35,199.516,25.924
-10.32,197.165,25.58
-10.29,194.603,25.019
-10.26,192.006,24.435
-10.22,189.304,23.873
-10.19,186.285,23.22
-10.16,183.092,22.751
-10.13,180.319,22.533
-10.09,177.582,22.201
-10.06,174.388,21.571
-10.03,171.054,21.055
-10.0,168.036,20.757
-9.96,165.088,20.219
-9.93,161.649,19.6
-9.9,158.49,19.429
-9.87,155.507,18.982
-9.83,152.383,18.558
-9.8,149.541,18.512
-9.77,146.803,18.088
-9.74,143.82,17.664
-9.7,140.486,16.943
-9.67,137.222,16.462
-9.64,134.134,16.015
-9.61,131.01,15.648
-9.57,127.817,15.259
-9.54,124.553,14.766
-9.51,121.114,14.205
-9.48,117.534,13.598
-9.44,114.024,13.025
-9.41,110.374,12.498
-9.38,106.83,12.131
-9.35,103.636,11.834
-9.31,100.407,11.501
-9.28,97.249,11.238
-9.25,94.231,10.894
-9.22,91.037,10.436
-9.18,87.878,9.978
-9.15,84.72,9.531
-9.12,81.561,9.13
-9.08,78.508,8.798
-9.05,75.525,8.466
-9.02,72.472,8.042
-8.99,69.313,7.595
-8.95,66.119,7.137
-8.92,62.891,6.656
