Date Time,Voltage RMS Min (V),Voltage RMS Avg (V),Voltage RMS Max (V),Current RMS Min (A),Current RMS Avg (A),Current RMS Max (A),Real Power Min (kW),Real Power Avg (kW),Real Power Max (kW),Reactive Power Min (kVAR),Reactive Power Avg (kVAR),Reactive Power Max (kVAR),Apparent Power Min (kVA),Apparent Power Avg (kVA),Apparent Power Max (kVA),Frequency Min (Hz),Frequency Avg (Hz),Frequency Max (Hz)
2023/06/26 08:17:00,208.3,208.6,208.9,1.34,1.42,2.188,-0.0,0.003,0.081,-0.277,-0.276,-0.274,0.282,0.298,0.457,59.972,59.974,59.976
2023/06/26 08:18:00,198.0,202.5,208.8,1.34,17.699,30.449,-0.0,3.481,6.011,-0.553,-0.359,-0.273,0.279,3.548,6.032,59.963,59.992,60.012
2023/06/26 08:19:00,198.0,198.5,198.9,29.464,29.784,30.162,5.82,5.891,5.97,-0.377,-0.371,-0.366,5.843,5.913,5.991,59.987,59.997,60.01
2023/06/26 08:20:00,198.1,198.5,199.0,29.475,29.796,30.197,5.828,5.894,5.976,-0.378,-0.371,-0.366,5.852,5.916,5.998,59.977,59.986,59.994
2023/06/26 08:21:00,197.7,198.3,198.9,29.487,29.75,30.094,5.828,5.878,5.951,-0.376,-0.37,-0.364,5.851,5.9,5.972,59.978,59.987,60.001
2023/06/26 08:22:00,197.8,198.3,198.9,29.509,29.75,30.14,5.84,5.879,5.952,-0.376,-0.37,-0.365,5.861,5.901,5.975,59.969,59.984,59.995
2023/06/26 08:23:00,197.6,198.2,198.8,29.521,29.762,30.162,5.834,5.878,5.955,-0.375,-0.369,-0.363,5.858,5.9,5.976,59.971,59.984,59.994
2023/06/26 08:24:00,197.6,198.1,198.7,29.567,29.773,30.105,5.841,5.878,5.944,-0.375,-0.369,-0.364,5.862,5.9,5.966,59.964,59.98,59.988
2023/06/26 08:25:00,197.4,198.0,198.6,29.59,29.796,30.128,5.841,5.879,5.953,-0.374,-0.369,-0.363,5.862,5.901,5.975,59.959,59.983,59.998
2023/06/26 08:26:00,197.8,198.2,198.7,29.601,29.784,30.14,5.846,5.882,5.949,-0.376,-0.369,-0.363,5.869,5.904,5.971,59.969,59.976,59.983
2023/06/26 08:27:00,197.2,197.9,198.4,29.716,29.83,30.014,5.859,5.883,5.909,-0.374,-0.369,-0.362,5.883,5.905,5.932,59.972,59.982,59.994
2023/06/26 08:28:00,197.5,198.1,198.6,29.624,29.807,30.14,5.852,5.884,5.951,-0.376,-0.369,-0.364,5.874,5.906,5.975,59.965,59.975,59.99
2023/06/26 08:29:00,197.5,198.1,198.7,29.647,29.819,30.151,5.858,5.886,5.96,-0.375,-0.369,-0.364,5.88,5.908,5.982,59.973,59.981,59.99
2023/06/26 08:30:00,197.5,198.0,198.6,29.67,29.83,30.151,5.86,5.888,5.95,-0.376,-0.369,-0.363,5.881,5.909,5.971,59.958,59.975,59.988
2023/06/26 08:31:00,197.8,198.9,199.7,29.532,29.876,30.197,5.866,5.922,5.963,-0.378,-0.372,-0.364,5.889,5.944,5.984,59.958,59.969,59.982
2023/06/26 08:32:00,198.4,199.1,199.5,29.59,29.899,30.128,5.867,5.931,5.966,-0.379,-0.373,-0.366,5.888,5.953,5.989,59.959,59.98,59.99
2023/06/26 08:33:00,198.6,199.1,199.5,29.807,29.91,30.048,5.911,5.933,5.958,-0.378,-0.372,-0.367,5.933,5.955,5.982,59.971,59.987,60.001
2023/06/26 08:34:00,198.3,199.0,199.6,29.521,29.91,30.151,5.844,5.933,5.975,-0.378,-0.372,-0.367,5.866,5.955,5.995,59.983,59.996,60.013
2023/06/26 08:35:00,198.1,199.0,199.5,29.509,29.91,30.14,5.84,5.931,5.961,-0.378,-0.372,-0.366,5.862,5.953,5.983,59.981,59.993,60.01
2023/06/26 08:36:00,198.3,198.8,199.4,29.521,29.933,30.197,5.836,5.931,5.975,-0.376,-0.371,-0.365,5.859,5.953,5.997,59.97,59.982,59.993
2023/06/26 08:37:00,198.3,198.9,199.4,29.555,29.945,30.162,5.848,5.936,5.974,-0.378,-0.371,-0.366,5.871,5.958,5.996,59.977,59.999,60.013
2023/06/26 08:38:00,198.6,199.0,199.5,29.635,29.945,30.128,5.872,5.94,5.973,-0.377,-0.372,-0.367,5.895,5.962,5.995,59.982,60.001,60.012
2023/06/26 08:39:00,198.4,198.8,199.3,29.555,29.968,30.185,5.857,5.938,5.978,-0.376,-0.371,-0.366,5.881,5.96,6.0,59.988,60.0,60.017
2023/06/26 08:40:00,198.4,198.7,199.3,29.544,29.968,30.197,5.852,5.936,5.982,-0.376,-0.371,-0.365,5.875,5.958,6.005,59.994,60.006,60.016
2023/06/26 08:41:00,197.8,198.6,199.3,29.578,29.899,30.22,5.851,5.918,5.982,-0.376,-0.37,-0.364,5.875,5.94,6.004,59.986,60.004,60.021
2023/06/26 08:42:00,198.1,198.6,199.2,29.567,29.853,30.231,5.848,5.909,5.984,-0.375,-0.37,-0.365,5.871,5.931,6.006,60.012,60.019,60.027
2023/06/26 08:43:00,198.0,198.5,199.1,29.544,29.842,30.208,5.846,5.904,5.983,-0.376,-0.37,-0.365,5.868,5.926,6.005,59.976,60.003,60.018
2023/06/26 08:44:00,197.7,198.5,199.2,29.544,29.842,30.231,5.846,5.902,5.987,-0.375,-0.369,-0.364,5.869,5.924,6.009,59.968,59.977,59.984
2023/06/26 08:45:00,197.6,198.3,199.0,29.578,29.796,30.162,5.849,5.887,5.965,-0.374,-0.368,-0.363,5.873,5.908,5.986,59.969,59.982,59.991
2023/06/26 08:46:00,198.1,198.5,199.1,29.578,29.796,30.036,5.851,5.894,5.941,-0.374,-0.369,-0.363,5.873,5.916,5.965,59.974,59.986,59.997
