Trigger_Date,2023/06/26
Trigger_Time,T 08:17:56.275 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.545
Time (ms),Voltage (V),Current (A)
-16.66,-101.46,-2.039
-16.63,-105.251,-1.936
-16.6,-108.655,-1.638
-16.57,-111.778,-1.478
-16.53,-114.832,-1.661
-16.5,-118.201,-1.833
-16.47,-121.745,-1.799
-16.44,-125.325,-1.844
-16.4,-129.08,-1.993
-16.37,-132.695,-1.867
-16.34,-135.959,-1.535
-16.31,-138.907,-1.455
-16.27,-142.03,-1.684
-16.24,-145.364,-1.799
-16.21,-148.804,-1.718
-16.17,-152.208,-1.787
-16.14,-155.612,-1.799
-16.11,-158.771,-1.512
-16.08,-161.543,-1.272
-16.04,-164.175,-1.375
-16.01,-167.088,-1.65
-15.98,-170.493,-1.879
-15.95,-174.142,-1.913
-15.91,-177.722,-1.799
-15.88,-181.056,-1.695
-15.85,-183.934,-1.352
-15.82,-186.356,-1.077
-15.78,-187.128,-0.08
-15.75,-183.899,2.978
-15.72,-177.02,4.559
-15.69,-170.457,2.738
-15.65,-167.053,0.836
-15.62,-167.229,-0.733
-15.59,-171.124,-3.104
-15.56,-178.635,-4.777
-15.52,-188.356,-5.35
-15.49,-198.779,-5.476
-15.46,-208.887,-5.109
-15.43,-217.52,-4.032
-15.39,-223.767,-2.543
-15.36,-227.101,-1.031
-15.33,-228.014,0.126
-15.3,-227.101,0.848
-15.26,-225.346,1.042
-15.23,-223.907,0.584
-15.2,-223.662,-0.206
-15.17,-224.995,-1.077
-15.13,-227.838,-1.821
-15.1,-231.664,-2.188
-15.07,-235.84,-2.165
-15.04,-239.595,-1.81
-15.0,-242.438,-1.272
-14.97,-244.543,-0.848
-14.94,-245.772,-0.447
-14.91,-246.333,-0.137
-14.87,-246.754,-0.16
-14.84,-247.176,-0.321
-14.81,-247.878,-0.401
-14.78,-248.895,-0.607
-14.74,-250.545,-1.077
-14.71,-253.072,-1.546
-14.68,-256.371,-1.81
-14.65,-259.915,-1.867
-14.61,-263.319,-1.707
-14.58,-266.197,-1.352
-14.55,-268.233,-0.79
-14.52,-269.356,-0.389
-14.48,-269.812,-0.069
-14.45,-269.847,0.08
-14.42,-270.093,-0.195
-14.38,-270.9,-0.607
-14.35,-272.269,-0.813
-14.32,-273.883,-0.871
-14.29,-275.252,-0.653
-14.25,-276.34,-0.401
-14.22,-277.217,-0.458
-14.19,-278.375,-0.722
-14.16,-280.025,-0.939
-14.12,-281.99,-1.1
-14.09,-284.131,-1.157
-14.06,-286.307,-1.088
-14.03,-288.097,-0.79
-13.99,-289.29,-0.504
-13.96,-290.237,-0.424
-13.93,-291.15,-0.47
-13.9,-292.133,-0.55
-13.86,-293.256,-0.607
-13.83,-294.519,-0.63
-13.8,-295.607,-0.55
-13.77,-296.449,-0.344
-13.73,-296.906,-0.137
-13.7,-296.976,0.046
-13.67,-296.66,0.229
-13.64,-296.274,0.241
-13.6,-296.239,-0.126
-13.57,-296.695,-0.367
-13.54,-297.256,-0.286
-13.51,-297.748,-0.206
-13.47,-298.239,-0.241
-13.44,-298.52,-0.115
-13.41,-298.485,0.149
-13.38,-298.239,0.172
-13.34,-298.099,-0.069
-13.31,-298.309,-0.126
-13.28,-298.45,-0.046
-13.25,-298.52,0.011
-13.21,-298.415,0.092
-13.18,-298.099,0.286
-13.15,-297.432,0.378
-13.12,-297.046,0.126
-13.08,-297.116,-0.195
-13.05,-297.467,-0.218
-13.02,-297.678,0.011
-12.99,-297.256,0.378
-12.95,-295.923,0.905
-12.92,-293.782,1.283
-12.89,-291.36,1.34
-12.86,-289.255,0.962
-12.82,-287.991,0.447
-12.79,-287.395,0.149
-12.76,-287.184,0.046
-12.73,-286.903,0.206
-12.69,-286.026,0.63
-12.66,-284.412,1.008
-12.63,-282.446,1.088
-12.59,-280.727,0.836
-12.56,-279.358,0.584
-12.53,-278.375,0.412
-12.5,-277.744,0.252
-12.46,-277.077,0.355
-12.43,-275.954,0.825
-12.4,-274.059,1.157
-12.37,-271.918,1.146
-12.33,-269.777,1.042
-12.3,-267.812,0.997
-12.27,-266.092,0.848
-12.24,-264.688,0.63
-12.2,-263.319,0.687
-12.17,-261.565,1.1
-12.14,-259.319,1.26
-12.11,-256.967,1.168
-12.07,-254.861,1.077
-12.04,-252.861,1.008
-12.01,-251.141,0.813
-11.98,-249.738,0.596
