Date Time,Voltage RMS Min (V),Voltage RMS Avg (V),Voltage RMS Max (V),Current RMS Min (A),Current RMS Avg (A),Current RMS Max (A),Real Power Min (kW),Real Power Avg (kW),Real Power Max (kW),Reactive Power Min (kVAR),Reactive Power Avg (kVAR),Reactive Power Max (kVAR),Apparent Power Min (kVA),Apparent Power Avg (kVA),Apparent Power Max (kVA),Frequency Min (Hz),Frequency Avg (Hz),Frequency Max (Hz)
2023/09/08 08:33:00,199.4,199.8,202.3,21.892,29.143,29.865,4.487,5.78,5.92,-0.12,-0.098,-0.073,4.525,5.822,5.962,60.01,60.014,60.017
2023/09/08 08:34:00,198.0,198.7,200.0,28.696,29.429,29.773,5.679,5.811,5.878,-0.14,-0.102,-0.072,5.708,5.848,5.919,59.987,60.01,60.09
2023/09/08 08:35:00,197.9,198.6,199.2,29.109,29.406,29.727,5.744,5.804,5.861,-0.142,-0.103,-0.075,5.78,5.841,5.897,59.995,60.011,60.024
2023/09/08 08:36:00,197.7,198.4,199.0,29.086,29.383,29.67,5.731,5.797,5.852,-0.136,-0.103,-0.073,5.766,5.833,5.89,59.992,60.005,60.016
2023/09/08 08:37:00,197.9,198.4,199.0,29.086,29.383,29.681,5.736,5.794,5.851,-0.137,-0.103,-0.067,5.771,5.83,5.891,59.991,60.011,60.031
2023/09/08 08:38:00,197.4,198.1,198.8,29.097,29.383,29.739,5.728,5.787,5.856,-0.136,-0.101,-0.071,5.758,5.823,5.891,60.001,60.013,60.026
2023/09/08 08:39:00,197.3,197.9,198.5,29.074,29.372,29.635,5.716,5.778,5.826,-0.14,-0.102,-0.067,5.753,5.814,5.863,59.991,60.001,60.013
2023/09/08 08:40:00,197.4,198.0,198.5,29.063,29.349,29.624,5.717,5.777,5.831,-0.14,-0.102,-0.07,5.755,5.813,5.867,59.997,60.017,60.026
2023/09/08 08:41:00,197.0,197.7,198.4,28.948,29.338,29.704,5.692,5.766,5.836,-0.134,-0.101,-0.07,5.729,5.801,5.875,60.006,60.014,60.021
2023/09/08 08:42:00,197.3,197.7,198.3,29.005,29.326,29.613,5.703,5.765,5.824,-0.142,-0.102,-0.07,5.738,5.8,5.858,60.008,60.019,60.029
2023/09/08 08:43:00,197.1,197.7,198.3,29.017,29.315,29.578,5.704,5.762,5.814,-0.137,-0.101,-0.069,5.739,5.797,5.851,59.995,60.012,60.022
2023/09/08 08:44:00,197.0,197.6,198.3,29.017,29.303,29.555,5.696,5.759,5.814,-0.135,-0.101,-0.072,5.73,5.793,5.848,59.985,60.01,60.024
2023/09/08 08:45:00,197.0,197.5,198.1,29.005,29.326,29.635,5.7,5.759,5.811,-0.134,-0.102,-0.071,5.731,5.794,5.846,59.992,60.004,60.023
2023/09/08 08:46:00,196.7,197.5,198.1,28.948,29.326,29.647,5.694,5.758,5.826,-0.138,-0.102,-0.068,5.728,5.793,5.862,59.998,60.011,60.019
2023/09/08 08:47:00,197.0,197.5,198.0,29.005,29.326,29.613,5.694,5.758,5.818,-0.138,-0.102,-0.077,5.73,5.793,5.85,60.0,60.007,60.015
2023/09/08 08:48:00,196.6,197.3,198.0,29.017,29.349,29.693,5.689,5.755,5.821,-0.133,-0.1,-0.07,5.724,5.79,5.856,60.003,60.014,60.025
2023/09/08 08:49:00,197.0,198.5,199.7,28.914,29.349,29.613,5.707,5.792,5.865,-0.137,-0.102,-0.065,5.739,5.826,5.897,59.993,60.007,60.02
2023/09/08 08:50:00,198.5,199.0,199.7,28.971,29.349,29.635,5.729,5.808,5.864,-0.142,-0.103,-0.074,5.765,5.843,5.901,59.986,60.004,60.017
2023/09/08 08:51:00,194.5,198.8,199.4,28.478,29.349,30.3,5.625,5.801,5.865,-0.135,-0.102,-0.07,5.66,5.836,5.902,59.986,59.999,60.012
