Trigger_Date,2023/09/08
Trigger_Time,T 08:38:17.731 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.546
Time (ms),Voltage (V),Current (A)
-16.66,2.422,4.8
-16.63,10.915,3.23
-16.6,16.916,3.563
-16.57,21.829,3.391
-16.53,23.093,1.65
-16.5,20.847,1.203
-16.47,21.443,2.978
-16.44,26.321,3.975
-16.4,29.059,4.158
-16.37,30.533,4.846
-16.34,34.92,5.567
-16.31,40.219,5.522
-16.27,43.307,5.567
-16.24,45.869,6.289
-16.21,50.011,6.954
-16.18,54.643,7.011
-16.14,57.802,7.102
-16.11,60.925,7.584
-16.08,64.961,8.007
-16.04,68.822,8.225
-16.01,71.594,8.615
-15.98,74.648,9.199
-15.95,78.683,9.508
-15.91,82.193,9.588
-15.88,84.86,9.955
-15.85,87.773,10.505
-15.82,91.458,10.848
-15.78,94.722,11.032
-15.75,97.284,11.456
-15.72,100.197,11.994
-15.69,103.706,12.303
-15.65,106.9,12.452
-15.62,109.708,12.876
-15.59,112.866,13.518
-15.56,116.446,13.999
-15.52,119.464,14.388
-15.49,121.991,14.892
-15.46,125.044,15.316
-15.43,128.378,15.602
-15.39,131.081,15.958
-15.36,133.467,16.565
-15.33,136.45,17.137
-15.3,140.03,17.561
-15.26,143.82,18.042
-15.23,146.347,18.26
-15.2,148.488,18.879
-15.17,151.822,19.142
-15.13,154.84,19.394
-15.1,157.297,19.887
-15.07,159.648,20.666
-15.04,162.666,21.353
-15.0,165.649,21.536
-14.97,168.071,21.811
-14.94,170.387,22.315
-14.91,172.809,22.716
-14.87,175.02,22.968
-14.84,177.266,23.312
-14.81,180.109,23.747
-14.78,182.846,24.206
-14.74,185.513,24.744
-14.71,187.689,25.248
-14.68,189.865,25.683
-14.65,192.427,25.958
-14.61,194.638,26.187
-14.58,196.884,26.531
-14.55,199.306,26.921
-14.52,201.517,27.241
-14.48,203.236,27.631
-14.45,205.167,28.089
-14.42,207.237,28.352
-14.39,209.167,28.524
-14.35,210.887,28.799
-14.32,213.028,29.2
-14.29,214.958,29.613
-14.25,216.783,30.082
-14.22,218.819,30.472
-14.19,221.416,30.655
-14.16,223.381,30.575
-14.12,224.329,30.861
-14.09,226.329,31.274
-14.06,228.68,31.342
-14.03,230.225,31.571
-13.99,231.734,31.984
-13.96,234.155,32.454
-13.93,235.875,32.717
-13.9,236.752,33.152
-13.86,238.297,33.53
-13.83,240.227,33.668
-13.8,242.157,34.0
-13.77,244.017,34.355
-13.73,245.702,34.79
-13.7,247.281,35.214
-13.67,249.036,35.524
-13.64,250.334,35.764
-13.6,251.598,36.222
-13.57,253.528,36.658
-13.54,255.283,36.99
-13.51,256.546,37.563
-13.47,258.195,38.147
-13.44,259.705,38.64
-13.41,261.073,39.155
-13.38,262.442,39.476
-13.34,263.705,39.728
-13.31,264.793,39.945
-13.28,265.565,40.266
-13.25,266.934,40.679
-13.21,268.794,41.034
-13.18,270.584,41.355
-13.15,271.567,41.962
-13.12,272.585,42.557
-13.08,273.567,42.786
-13.05,274.164,43.05
-13.02,275.111,43.531
-12.99,276.48,43.817
-12.95,277.533,44.115
-12.92,278.34,44.631
-12.89,279.077,45.009
-12.86,279.604,45.169
-12.82,279.955,45.398
-12.79,280.516,45.467
-12.76,281.183,45.479
-12.73,281.955,45.719
-12.69,282.657,46.04
-12.66,282.938,46.315
-12.63,283.253,46.475
-12.6,283.464,46.555
-12.56,284.061,46.716
-12.53,284.517,46.567
-12.5,284.166,46.796
-12.46,284.903,47.22
-12.43,285.254,46.991
-12.4,284.341,46.968
-12.37,284.166,47.082
-12.33,284.657,46.807
-12.3,284.166,46.418
-12.27,283.113,46.372
-12.24,283.183,46.338
-12.2,283.464,46.154
-12.17,282.938,46.063
-12.14,282.306,46.086
-12.11,281.499,45.971
-12.07,280.656,45.673
-12.04,279.99,45.318
-12.01,279.463,45.02
-11.98,279.182,44.631
-11.94,278.27,44.356
-11.91,277.007,44.241
-11.88,276.164,44.024
-11.85,275.673,43.474
-11.81,274.374,42.912
-11.78,272.69,42.512
-11.75,271.356,42.053
-11.72,270.514,41.526
-11.68,269.847,41.011
-11.65,268.478,40.576
-11.62,266.794,40.243
-11.59,265.25,39.831
-11.55,263.846,39.132
-11.52,262.021,38.491
-11.49,260.582,38.01
-11.46,259.389,37.54
-11.42,257.88,37.047
-11.39,255.914,36.704
-11.36,254.44,36.303
-11.33,253.247,35.684
-11.29,251.352,35.065
-11.26,248.825,34.699
-11.23,247.176,34.355
-11.2,246.228,33.668
-11.16,244.263,32.958
-11.13,242.157,32.717
-11.1,240.964,32.419
-11.07,239.209,31.709
-11.03,236.612,31.067
-11.0,234.471,30.804
-10.97,233.594,30.426
-10.94,232.365,29.762
-10.9,230.435,29.28
-10.87,227.873,29.086
-10.84,225.136,29.074
-10.81,223.311,28.845
-10.77,221.381,28.307
-10.74,219.029,27.952
-10.71,216.888,27.688
-10.67,214.923,27.356
-10.64,212.642,27.024
-10.61,210.501,26.772
-10.58,208.395,26.485
-10.54,206.149,26.279
-10.51,203.552,25.855
-10.48,200.99,25.615
-10.45,199.692,25.5
-10.41,198.112,25.122
-10.38,195.515,25.053
-10.35,193.164,25.122
-10.32,191.339,24.996
-10.28,189.128,24.698
-10.25,186.566,24.572
-10.22,184.32,24.469
-10.19,182.495,24.022
-10.15,179.617,23.541
-10.12,176.915,23.369
-10.09,175.23,23.083
-10.06,172.984,22.545
-10.02,169.405,22.212
-9.99,166.211,22.121
-9.96,164.491,21.674
-9.93,162.175,20.895
-9.89,159.402,20.528
-9.86,156.7,20.219
-9.83,153.647,19.898
-9.8,150.734,19.578
-9.76,148.137,19.211
-9.73,145.645,18.902
-9.7,143.118,18.455
-9.67,139.925,17.985
-9.63,136.731,17.607
-9.6,133.923,17.286
-9.57,131.361,16.908
-9.54,128.589,16.611
-9.5,125.676,16.347
-9.47,122.552,15.969
-9.44,119.429,15.442
-9.41,116.235,14.949
-9.37,113.814,14.48
-9.34,111.357,13.896
-9.31,107.602,13.495
-9.28,103.812,13.266
-9.24,100.899,12.773
-9.21,98.161,11.994
-9.18,94.687,11.307
-9.15,91.037,10.86
-9.11,87.598,10.379
-9.08,84.123,9.806
-9.05,80.754,9.313
-9.02,77.631,8.855
-8.98,74.261,8.328
-8.95,70.331,7.859
-8.92,66.541,7.48
-8.88,64.119,6.782
-8.85,60.609,5.945
-8.82,55.696,5.888
-8.79,52.046,5.968
-8.75,49.239,5.464
-8.72,45.554,4.788
-8.69,41.518,4.422
-8.66,38.184,4.296
-8.62,36.604,4.8
-8.59,35.025,4.788
-8.56,28.638,3.494
-8.53,21.057,3.116
-8.49,18.25,2.497
-8.46,16.179,1.168
-8.43,14.494,0.309
-8.4,13.266,-0.848
-8.36,11.23,-2.818
-8.33,1.299,-3.127
-8.3,-8.423,-1.524
-8.27,-14.951,-1.615
-8.23,-20.215,-1.524
-8.2,-22.321,-0.172
-8.17,-23.198,0.664
-8.14,-22.812,-0.47
-8.1,-25.725,-1.97
-8.07,-28.989,-2.486
-8.04,-31.726,-2.864
-8.01,-35.376,-3.288
-7.97,-39.833,-3.505
-7.94,-43.799,-3.849
-7.91,-47.203,-4.422
-7.88,-50.362,-5.109
-7.84,-54.222,-5.613
-7.81,-57.942,-5.877
-7.78,-61.136,-6.197
-7.75,-64.645,-6.679
-7.71,-68.822,-6.988
-7.68,-72.226,-7.286
-7.65,-74.963,-7.836
-7.62,-78.087,-8.385
-7.58,-81.667,-8.741
-7.55,-84.895,-9.061
-7.52,-87.914,-9.588
-7.49,-91.388,-10.173
-7.45,-94.757,-10.596
-7.42,-97.6,-10.997
-7.39,-100.688,-11.433
-7.36,-103.882,-11.879
-7.32,-106.865,-12.383
-7.29,-109.988,-12.887
-7.26,-112.761,-13.472
-7.23,-115.955,-14.09
-7.19,-119.499,-14.537
-7.16,-122.237,-14.972
-7.13,-124.869,-15.488
-7.09,-127.466,-16.015
-7.06,-130.309,-16.53
-7.03,-133.186,-16.931
-7.0,-135.959,-17.619
-6.96,-139.293,-18.157
-6.93,-142.346,-18.501
-6.9,-144.803,-18.947
-6.87,-146.593,-19.165
-6.83,-148.979,-19.784
-6.8,-152.699,-20.242
-6.77,-155.753,-20.609
-6.74,-158.174,-21.113
-6.7,-160.42,-21.846
-6.67,-163.509,-22.419
-6.64,-166.316,-22.705
-6.61,-168.562,-23.129
-6.57,-171.019,-23.656
-6.54,-173.37,-24.091
-6.51,-175.371,-24.607
-6.48,-177.968,-25.237
-6.44,-181.161,-25.764
-6.41,-183.969,-26.199
-6.38,-186.18,-26.588
-6.35,-188.075,-27.058
-6.31,-190.497,-27.436
-6.28,-192.848,-27.631
-6.25,-194.814,-27.974
-6.22,-197.656,-28.352
-6.18,-200.604,-28.478
-6.15,-202.605,-28.627
-6.12,-203.868,-28.948
