Date Time,Voltage RMS Min (V),Voltage RMS Avg (V),Voltage RMS Max (V),Current RMS Min (A),Current RMS Avg (A),Current RMS Max (A),Real Power Min (kW),Real Power Avg (kW),Real Power Max (kW),Reactive Power Min (kVAR),Reactive Power Avg (kVAR),Reactive Power Max (kVAR),Apparent Power Min (kVA),Apparent Power Avg (kVA),Apparent Power Max (kVA),Frequency Min (Hz),Frequency Avg (Hz),Frequency Max (Hz)
2023/09/13 08:32:00,199.3,199.7,200.9,27.459,29.383,29.67,5.498,5.859,5.914,-0.404,-0.293,-0.279,5.51,5.869,5.924,60.03,60.037,60.042
2023/09/13 08:33:00,199.0,199.6,200.4,29.12,29.406,29.716,5.803,5.859,5.909,-0.306,-0.292,-0.276,5.812,5.869,5.918,60.034,60.04,60.047
2023/09/13 08:34:00,199.1,199.8,200.3,29.131,29.406,29.67,5.81,5.865,5.92,-0.305,-0.291,-0.278,5.821,5.875,5.93,60.03,60.039,60.046
2023/09/13 08:35:00,198.9,199.6,200.2,29.143,29.429,29.716,5.811,5.866,5.918,-0.303,-0.29,-0.274,5.821,5.876,5.927,60.035,60.039,60.044
2023/09/13 08:36:00,198.8,199.5,200.3,29.166,29.475,29.762,5.803,5.871,5.928,-0.305,-0.288,-0.274,5.813,5.881,5.938,60.034,60.04,60.046
2023/09/13 08:37:00,199.2,199.7,200.2,29.235,29.487,29.796,5.826,5.881,5.942,-0.302,-0.288,-0.273,5.837,5.891,5.952,60.036,60.041,60.047
2023/09/13 08:38:00,199.1,199.6,200.0,29.223,29.509,29.784,5.826,5.88,5.934,-0.302,-0.287,-0.273,5.838,5.89,5.942,60.036,60.042,60.046
2023/09/13 08:39:00,198.9,199.5,200.1,29.246,29.509,29.807,5.825,5.879,5.939,-0.3,-0.285,-0.27,5.834,5.889,5.948,60.035,60.041,60.051
2023/09/13 08:40:00,198.6,199.4,200.1,29.223,29.532,29.819,5.814,5.881,5.94,-0.295,-0.282,-0.267,5.824,5.89,5.95,60.034,60.04,60.052
2023/09/13 08:41:00,198.9,199.4,200.0,29.269,29.555,29.888,5.831,5.887,5.943,-0.298,-0.28,-0.263,5.841,5.897,5.954,60.028,60.035,60.041
2023/09/13 08:42:00,198.5,199.2,200.0,29.303,29.59,29.853,5.832,5.888,5.939,-0.292,-0.278,-0.264,5.842,5.897,5.946,60.018,60.027,60.036
2023/09/13 08:43:00,198.6,199.2,200.0,29.326,29.601,29.876,5.834,5.889,5.948,-0.293,-0.277,-0.264,5.843,5.898,5.957,60.014,60.023,60.031
2023/09/13 08:44:00,198.8,199.3,200.0,29.338,29.613,29.888,5.841,5.895,5.951,-0.291,-0.276,-0.263,5.849,5.905,5.961,60.021,60.031,60.036
2023/09/13 08:45:00,198.4,199.1,199.9,29.349,29.613,29.922,5.823,5.89,5.946,-0.292,-0.275,-0.26,5.834,5.899,5.955,60.011,60.018,60.027
2023/09/13 08:46:00,198.6,199.2,199.8,29.338,29.624,29.899,5.839,5.894,5.952,-0.287,-0.274,-0.258,5.848,5.903,5.961,60.002,60.011,60.021
2023/09/13 08:47:00,198.7,199.2,199.8,29.349,29.624,29.91,5.844,5.894,5.945,-0.288,-0.272,-0.258,5.853,5.903,5.954,60.013,60.021,60.027
2023/09/13 08:48:00,198.4,199.0,199.6,29.338,29.647,29.933,5.842,5.893,5.94,-0.288,-0.271,-0.258,5.85,5.902,5.948,59.999,60.009,60.025
