Trigger_Date,2023/09/13
Trigger_Time,T 09:36:22.808 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.546
Time (ms),Voltage (V),Current (A)
-16.66,-0.842,-1.879
-16.63,-3.159,-2.967
-16.6,-6.563,-3.104
-16.57,-8.809,-4.135
-16.53,-10.985,-5.396
-16.5,-14.003,-6.427
-16.47,-18.741,-7.309
-16.44,-23.233,-8.03
-16.4,-26.532,-8.821
-16.37,-29.866,-9.623
-16.34,-34.744,-10.127
-16.31,-39.377,-10.195
-16.27,-42.992,-10.253
-16.24,-46.361,-10.505
-16.21,-50.116,-10.734
-16.18,-53.906,-10.848
-16.14,-57.521,-11.043
-16.11,-60.785,-11.433
-16.08,-64.154,-11.799
-16.05,-67.137,-12.154
-16.01,-69.769,-12.693
-15.98,-72.647,-13.231
-15.95,-76.051,-13.609
-15.92,-79.28,-13.701
-15.88,-82.614,-13.941
-15.85,-86.018,-14.365
-15.82,-89.142,-14.675
-15.78,-91.809,-14.972
-15.75,-94.722,-15.282
-15.72,-97.951,-15.476
-15.69,-100.653,-15.889
-15.65,-103.18,-16.679
-15.62,-106.163,-17.435
-15.59,-109.673,-17.974
-15.56,-112.901,-18.432
-15.52,-115.814,-19.073
-15.49,-118.903,-19.726
-15.46,-122.552,-20.322
-15.43,-125.922,-20.528
-15.39,-128.519,-20.792
-15.36,-131.396,-21.41
-15.33,-135.152,-21.823
-15.3,-138.837,-22.063
-15.26,-141.539,-22.396
-15.23,-144.066,-22.945
-15.2,-146.979,-23.346
-15.17,-149.892,-23.507
-15.13,-152.103,-23.713
-15.1,-154.559,-24.32
-15.07,-157.823,-24.916
-15.04,-161.263,-25.271
-15.0,-163.719,-25.66
-14.97,-166.211,-26.187
-14.94,-169.159,-26.508
-14.91,-172.177,-26.657
-14.87,-174.529,-26.966
-14.84,-176.74,-27.562
-14.81,-179.898,-28.032
-14.78,-183.057,-28.169
-14.74,-185.233,-28.41
-14.71,-187.268,-28.834
-14.68,-189.619,-28.948
-14.65,-191.55,-28.879
-14.61,-192.989,-29.12
-14.58,-195.2,-29.578
-14.55,-197.867,-29.922
-14.52,-199.832,-30.197
-14.48,-201.482,-30.403
-14.45,-203.587,-30.781
-14.42,-206.29,-31.022
-14.39,-208.395,-31.251
-14.35,-210.361,-31.663
-14.32,-212.256,-32.076
-14.29,-214.081,-32.431
-14.26,-216.151,-32.786
-14.22,-218.819,-33.095
-14.19,-221.31,-33.336
-14.16,-223.276,-33.759
-14.13,-225.311,-34.286
-14.09,-227.838,-34.676
-14.06,-230.435,-34.813
-14.03,-232.471,-34.997
-13.99,-234.717,-35.443
-13.96,-237.279,-35.833
-13.93,-239.314,-36.154
-13.9,-241.315,-36.452
-13.86,-243.771,-36.6
-13.83,-245.842,-36.841
-13.8,-246.719,-37.196
-13.77,-247.211,-37.586
-13.73,-248.264,-37.872
-13.7,-250.229,-38.055
-13.67,-252.089,-38.25
-13.64,-252.931,-38.422
-13.6,-253.528,-38.811
-13.57,-255.563,-39.167
-13.54,-257.985,-39.258
-13.51,-259.213,-39.396
-13.47,-259.915,-39.785
-13.44,-261.6,-39.98
-13.41,-262.723,-39.797
-13.38,-263.039,-39.991
-13.34,-264.267,-40.392
-13.31,-266.267,-40.438
-13.28,-267.636,-40.61
-13.25,-268.935,-41.137
-13.21,-270.724,-41.309
-13.18,-272.128,-41.343
-13.15,-273.497,-41.446
-13.12,-274.725,-41.412
-13.08,-276.059,-41.515
-13.05,-277.252,-41.687
-13.02,-278.094,-42.019
-12.99,-279.428,-42.191
-12.95,-280.481,-42.134
-12.92,-281.042,-42.271
-12.89,-281.639,-42.248
-12.86,-282.201,-41.985
-12.82,-282.13,-42.088
-12.79,-281.639,-42.729
-12.76,-282.341,-43.176
-12.73,-283.359,-43.268
-12.69,-283.534,-43.554
-12.66,-283.78,-43.772
-12.63,-284.131,-43.6
-12.6,-284.412,-43.439
-12.56,-284.377,-43.371
-12.53,-284.517,-43.371
-12.5,-284.903,-43.439
-12.47,-285.605,-43.531
-12.43,-285.745,-43.554
-12.4,-285.324,-43.669
-12.37,-285.429,-43.462
-12.34,-285.535,-42.935
-12.3,-284.692,-42.431
-12.27,-283.71,-42.454
-12.24,-283.885,-42.466
-12.2,-284.131,-42.294
-12.17,-283.499,-42.065
-12.14,-282.201,-41.985
-12.11,-281.253,-41.824
-12.07,-280.902,-41.549
-12.04,-277.182,-39.636
-12.01,-267.075,-36.291
-11.98,-258.195,-34.894
-11.94,-257.774,-34.458
-11.91,-257.774,-33.336
-11.88,-251.247,-33.313
-11.85,-244.754,-34.619
-11.81,-244.649,-35.512
-11.78,-247.913,-35.89
-11.75,-248.299,-37.013
-11.72,-247.211,-38.605
-11.68,-248.299,-39.797
-11.65,-252.124,-40.713
-11.62,-255.002,-41.446
-11.59,-254.756,-41.744
-11.55,-253.282,-41.526
-11.52,-253.668,-40.919
-11.49,-254.932,-40.266
-11.46,-255.142,-39.865
-11.42,-253.914,-39.659
-11.39,-252.826,-39.419
-11.36,-252.791,-38.914
-11.33,-251.878,-38.25
-11.29,-249.948,-37.792
-11.26,-248.369,-37.402
-11.23,-247.597,-36.83
-11.2,-246.193,-36.188
-11.16,-244.017,-35.821
-11.13,-242.262,-35.512
-11.1,-240.578,-35.157
-11.07,-238.472,-34.802
-11.03,-236.191,-34.458
-11.0,-234.471,-34.16
-10.97,-232.962,-33.817
-10.94,-230.786,-33.519
-10.9,-228.189,-33.359
-10.87,-226.013,-33.267
-10.84,-224.715,-33.049
-10.81,-222.925,-32.625
-10.77,-220.573,-32.339
-10.74,-218.362,-32.202
-10.71,-216.327,-31.846
-10.68,-214.151,-31.571
-10.64,-211.975,-31.411
-10.61,-210.641,-31.125
-10.58,-209.203,-30.632
-10.55,-206.921,-30.162
-10.51,-204.219,-29.739
-10.48,-201.762,-29.418
-10.45,-199.832,-29.131
-10.41,-198.323,-28.776
-10.38,-196.463,-28.387
-10.35,-194.252,-28.146
-10.32,-192.322,-27.826
-10.28,-190.286,-27.253
-10.25,-187.303,-26.806
