Date Time,Voltage RMS Min (V),Voltage RMS Avg (V),Voltage RMS Max (V),Current RMS Min (A),Current RMS Avg (A),Current RMS Max (A),Real Power Min (kW),Real Power Avg (kW),Real Power Max (kW),Reactive Power Min (kVAR),Reactive Power Avg (kVAR),Reactive Power Max (kVAR),Apparent Power Min (kVA),Apparent Power Avg (kVA),Apparent Power Max (kVA),Frequency Min (Hz),Frequency Avg (Hz),Frequency Max (Hz)
2023/06/22 11:04:00,197.2,197.7,198.6,27.047,28.879,29.12,5.364,5.705,5.754,-0.184,-0.169,-0.157,5.37,5.711,5.761,59.989,59.998,60.009
2023/06/22 11:05:00,197.4,197.9,198.4,28.685,28.902,29.097,5.675,5.716,5.749,-0.181,-0.168,-0.156,5.681,5.721,5.755,59.989,60.005,60.015
2023/06/22 11:06:00,197.4,197.8,198.3,28.673,28.891,29.086,5.669,5.711,5.745,-0.181,-0.169,-0.154,5.674,5.717,5.751,59.997,60.012,60.023
2023/06/22 11:07:00,197.2,197.7,198.2,28.627,28.902,29.086,5.665,5.708,5.744,-0.184,-0.169,-0.157,5.671,5.714,5.749,60.012,60.02,60.03
2023/06/22 11:08:00,197.0,197.6,198.0,28.627,28.902,29.109,5.66,5.706,5.742,-0.179,-0.169,-0.157,5.664,5.712,5.749,59.998,60.008,60.023
2023/06/22 11:09:00,197.2,197.7,198.4,28.719,28.914,29.109,5.675,5.711,5.751,-0.18,-0.169,-0.159,5.68,5.717,5.757,59.977,60.005,60.023
2023/06/22 11:10:00,196.8,197.5,198.0,28.708,28.914,29.109,5.669,5.707,5.745,-0.181,-0.169,-0.157,5.676,5.713,5.749,59.995,60.011,60.024
2023/06/22 11:11:00,197.0,197.7,198.3,28.696,28.914,29.109,5.663,5.711,5.751,-0.181,-0.169,-0.157,5.67,5.717,5.756,59.999,60.014,60.025
2023/06/22 11:12:00,197.0,197.6,198.2,28.708,28.925,29.143,5.665,5.712,5.751,-0.181,-0.168,-0.156,5.671,5.718,5.758,59.989,60.005,60.016
2023/06/22 11:13:00,197.2,197.6,198.2,28.696,28.914,29.109,5.664,5.71,5.749,-0.181,-0.168,-0.157,5.67,5.716,5.755,59.993,60.006,60.017
2023/06/22 11:14:00,196.8,197.6,198.1,28.696,28.914,29.12,5.658,5.707,5.743,-0.179,-0.168,-0.157,5.664,5.713,5.749,60.0,60.011,60.023
2023/06/22 11:15:00,197.0,197.5,198.0,28.673,28.902,29.131,5.661,5.703,5.745,-0.178,-0.167,-0.154,5.666,5.709,5.751,59.994,60.008,60.017
2023/06/22 11:16:00,197.0,197.4,197.9,28.673,28.891,29.097,5.662,5.699,5.741,-0.177,-0.167,-0.155,5.668,5.705,5.747,59.982,59.994,60.006
2023/06/22 11:17:00,196.8,197.4,198.0,28.685,28.902,29.109,5.66,5.7,5.741,-0.178,-0.167,-0.154,5.667,5.706,5.747,59.973,59.995,60.015
2023/06/22 11:18:00,196.7,197.2,197.8,28.708,28.914,29.109,5.655,5.697,5.735,-0.178,-0.166,-0.155,5.66,5.703,5.742,59.972,59.98,59.991
2023/06/22 11:19:00,196.7,197.2,197.8,28.662,28.902,29.143,5.652,5.695,5.74,-0.178,-0.166,-0.154,5.659,5.701,5.745,59.969,59.976,59.985
2023/06/22 11:20:00,196.7,197.2,197.7,28.719,28.902,29.109,5.655,5.695,5.739,-0.18,-0.166,-0.155,5.662,5.701,5.745,59.958,59.971,59.983
2023/06/22 11:21:00,196.7,197.2,197.6,28.639,28.902,29.097,5.646,5.694,5.727,-0.177,-0.165,-0.153,5.651,5.7,5.732,59.958,59.974,59.982
2023/06/22 11:22:00,196.5,197.1,197.8,28.696,28.891,29.086,5.653,5.69,5.732,-0.18,-0.165,-0.155,5.659,5.696,5.737,59.958,59.974,59.984
2023/06/22 11:23:00,196.8,197.2,197.8,28.662,28.879,29.063,5.657,5.69,5.728,-0.177,-0.165,-0.155,5.662,5.696,5.734,59.961,59.975,59.987
2023/06/22 11:24:00,196.7,197.1,197.7,28.696,28.879,29.097,5.654,5.689,5.732,-0.178,-0.165,-0.153,5.659,5.695,5.739,59.962,59.97,59.977
2023/06/22 11:25:00,196.6,197.1,197.6,28.662,28.891,29.086,5.647,5.689,5.722,-0.177,-0.165,-0.154,5.653,5.695,5.728,59.961,59.968,59.979
2023/06/22 11:26:00,196.5,197.0,197.4,28.662,28.891,29.097,5.646,5.687,5.727,-0.175,-0.164,-0.153,5.652,5.693,5.732,59.96,59.967,59.975
2023/06/22 11:27:00,196.5,197.1,197.7,28.685,28.891,29.086,5.649,5.688,5.725,-0.177,-0.165,-0.152,5.654,5.694,5.73,59.958,59.972,59.982
2023/06/22 11:28:00,196.3,196.8,197.4,28.662,28.891,29.086,5.639,5.682,5.72,-0.175,-0.164,-0.152,5.645,5.688,5.727,59.962,59.98,59.999
2023/06/22 11:29:00,196.3,196.7,197.3,28.719,28.902,29.086,5.644,5.683,5.716,-0.175,-0.163,-0.151,5.65,5.689,5.722,59.961,59.974,59.997
2023/06/22 11:30:00,196.3,196.7,197.2,28.673,28.902,29.12,5.639,5.683,5.722,-0.176,-0.163,-0.151,5.646,5.689,5.728,59.96,59.972,59.984
2023/06/22 11:31:00,196.4,196.8,197.3,28.685,28.902,29.086,5.643,5.684,5.723,-0.175,-0.164,-0.154,5.65,5.69,5.728,59.971,59.981,59.99
2023/06/22 11:32:00,196.4,196.7,197.3,28.685,28.914,29.12,5.64,5.685,5.725,-0.174,-0.163,-0.15,5.645,5.691,5.73,59.955,59.97,59.98
2023/06/22 11:33:00,196.4,196.8,197.3,28.673,28.902,29.097,5.643,5.683,5.718,-0.176,-0.163,-0.152,5.649,5.689,5.724,59.968,59.987,60.004
2023/06/22 11:34:00,196.2,196.6,197.1,28.662,28.902,29.074,5.638,5.677,5.714,-0.176,-0.162,-0.152,5.643,5.683,5.719,59.984,59.996,60.005
2023/06/22 11:35:00,196.0,196.6,197.3,28.65,28.891,29.086,5.635,5.675,5.717,-0.175,-0.162,-0.15,5.64,5.681,5.723,59.981,59.99,59.999
2023/06/22 11:36:00,196.1,196.5,197.1,28.696,28.879,29.086,5.638,5.673,5.712,-0.172,-0.162,-0.151,5.643,5.679,5.718,59.978,59.985,59.999
2023/06/22 11:37:00,196.1,196.7,197.4,28.65,28.879,29.074,5.633,5.676,5.714,-0.175,-0.163,-0.152,5.637,5.682,5.721,59.988,59.996,60.007
2023/06/22 11:38:00,196.3,196.7,197.3,28.673,28.879,29.086,5.634,5.676,5.712,-0.176,-0.163,-0.152,5.641,5.682,5.718,59.98,59.997,60.013
2023/06/22 11:39:00,196.1,196.6,197.2,28.605,28.891,29.097,5.641,5.677,5.718,-0.175,-0.162,-0.149,5.646,5.683,5.723,59.988,60.005,60.018
2023/06/22 11:40:00,196.1,196.6,197.1,28.673,28.891,29.086,5.635,5.675,5.709,-0.174,-0.162,-0.149,5.639,5.681,5.715,59.978,59.996,60.014
2023/06/22 11:41:00,195.9,196.4,197.1,28.662,28.891,29.086,5.623,5.669,5.709,-0.173,-0.162,-0.148,5.627,5.675,5.715,60.002,60.009,60.016
2023/06/22 11:42:00,196.0,196.6,197.2,28.673,28.891,29.086,5.638,5.674,5.711,-0.173,-0.162,-0.149,5.643,5.68,5.717,59.989,60.004,60.016
2023/06/22 11:43:00,196.0,196.5,197.1,28.662,28.879,29.097,5.63,5.67,5.709,-0.174,-0.162,-0.151,5.636,5.676,5.715,59.988,59.999,60.011
2023/06/22 11:44:00,195.7,196.4,197.1,28.662,28.891,29.086,5.619,5.671,5.711,-0.173,-0.161,-0.149,5.626,5.677,5.716,59.973,59.981,60.002
2023/06/22 11:45:00,196.1,196.6,197.1,28.685,28.902,29.131,5.635,5.677,5.719,-0.173,-0.162,-0.149,5.64,5.683,5.724,59.977,59.986,59.998
2023/06/22 11:46:00,196.0,196.4,197.0,28.673,28.891,29.109,5.629,5.671,5.714,-0.173,-0.161,-0.15,5.636,5.677,5.719,59.982,59.999,60.011
2023/06/22 11:47:00,195.7,196.3,196.8,28.696,28.891,29.074,5.632,5.666,5.701,-0.171,-0.161,-0.148,5.637,5.672,5.708,59.986,60.005,60.017
2023/06/22 11:48:00,195.5,196.2,198.7,28.662,28.891,29.12,5.619,5.665,5.751,-0.173,-0.16,-0.15,5.626,5.671,5.757,59.987,60.0,60.012
2023/06/22 11:49:00,198.0,198.5,199.1,28.685,28.891,29.097,5.691,5.731,5.767,-0.175,-0.164,-0.151,5.697,5.737,5.774,59.984,59.994,60.007
