Trigger_Date,2023/06/22
Trigger_Time,T 13:12:21.374 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.561
Time (ms),Voltage (V),Current (A)
-16.67,0.456,0.756
-16.64,0.632,1.89
-16.61,2.702,2.978
-16.57,7.405,3.929
-16.54,12.459,4.846
-16.51,16.319,5.659
-16.48,19.934,6.301
-16.44,24.426,6.701
-16.41,29.129,6.954
-16.38,33.235,7.125
-16.35,36.429,7.446
-16.31,39.552,7.732
-16.28,42.711,7.973
-16.25,46.08,8.294
-16.22,49.414,8.626
-16.18,52.678,8.878
-16.15,55.766,9.29
-16.12,58.925,9.84
-16.09,62.189,10.23
-16.05,65.628,10.528
-16.02,68.822,10.929
-15.99,71.875,11.421
-15.95,74.998,11.845
-15.92,78.262,12.349
-15.89,81.667,13.002
-15.86,85.316,13.689
-15.82,89.037,14.216
-15.79,92.511,14.64
-15.76,95.705,14.927
-15.73,98.758,15.247
-15.69,101.741,15.488
-15.66,104.654,15.854
-15.63,107.532,16.187
-15.6,110.55,16.714
-15.56,113.884,17.367
-15.53,117.358,17.882
-15.5,120.868,18.34
-15.47,123.956,18.764
-15.43,127.29,19.268
-15.4,131.186,19.612
-15.37,134.871,19.978
-15.34,138.029,20.425
-15.3,141.013,20.849
-15.27,144.066,21.17
-15.24,146.944,21.365
-15.21,149.611,21.628
-15.17,152.383,21.972
-15.14,155.226,22.247
-15.11,157.964,22.556
-15.08,160.666,22.991
-15.04,163.158,23.472
-15.01,165.509,23.896
-14.98,168.282,24.217
-14.95,171.089,24.481
-14.91,173.792,24.698
-14.88,176.108,25.076
-14.85,178.389,25.672
-14.82,181.232,26.21
-14.78,184.18,26.646
-14.75,186.987,27.069
-14.72,189.584,27.379
-14.68,191.83,27.562
-14.65,193.761,27.78
-14.62,195.972,28.123
-14.59,198.639,28.364
-14.55,200.955,28.582
-14.52,202.745,28.857
-14.49,204.605,29.143
-14.46,206.606,29.189
-14.42,207.834,29.269
-14.39,208.922,29.59
-14.36,210.712,29.91
-14.33,213.028,30.254
-14.29,215.063,30.735
-14.26,216.818,31.239
-14.23,218.784,31.64
-14.2,220.784,31.892
-14.16,222.293,32.202
-14.13,224.013,32.637
-14.1,226.364,33.026
-14.07,228.786,33.301
-14.03,230.681,33.611
-14.0,232.506,33.92
-13.97,234.717,34.241
-13.94,237.103,34.229
-13.9,238.542,34.046
-13.87,239.7,34.561
-13.84,241.806,34.848
-13.81,243.982,34.756
-13.77,245.386,34.985
-13.74,247.211,35.592
-13.71,249.422,35.856
-13.68,250.861,35.959
-13.64,252.019,36.177
-13.61,253.703,36.394
-13.58,255.458,36.635
-13.55,256.862,36.956
-13.51,258.09,37.311
-13.48,259.915,37.551
-13.45,261.74,37.586
-13.42,262.828,37.609
-13.38,263.284,37.574
-13.35,263.495,37.574
-13.32,263.53,38.101
-13.28,264.758,38.811
-13.25,265.987,39.178
-13.22,266.618,39.556
-13.19,267.812,40.117
-13.15,269.707,40.266
-13.12,270.83,40.358
-13.09,271.953,40.736
-13.06,273.813,41.125
-13.02,275.778,41.194
-12.99,277.077,41.481
-12.96,278.13,41.813
-12.93,279.463,42.007
-12.89,280.902,41.813
-12.86,281.464,41.492
-12.83,281.042,41.251
-12.8,281.113,41.389
-12.76,282.095,41.251
-12.73,282.867,41.022
-12.7,283.008,41.137
-12.67,283.253,41.366
-12.63,283.569,41.286
-12.6,283.078,41.148
-12.57,283.113,41.607
-12.54,284.131,41.584
-12.5,284.377,41.515
-12.47,284.622,41.985
-12.44,285.324,42.111
-12.41,284.341,42.317
-12.37,282.727,42.706
-12.34,282.306,42.718
-12.31,282.306,42.5
-12.28,281.779,42.557
-12.24,281.604,42.947
-12.21,282.236,43.107
-12.18,282.727,43.027
-12.15,282.341,42.993
-12.11,281.429,42.786
-12.08,280.656,42.34
-12.05,280.095,41.813
-12.01,279.112,41.4
-11.98,277.708,41.206
-11.95,276.41,41.137
-11.92,275.392,40.908
-11.88,274.304,40.507
-11.85,272.409,40.163
-11.82,270.198,39.888
-11.79,268.198,39.545
-11.75,266.899,39.201
-11.72,266.478,39.075
-11.69,266.092,38.926
-11.66,264.864,38.72
-11.62,263.179,38.559
-11.59,261.74,38.319
-11.56,260.371,37.975
-11.53,258.687,37.7
-11.49,257.002,37.574
-11.46,255.739,37.391
-11.43,254.195,37.231
-11.4,252.405,37.173
-11.36,250.79,37.047
-11.33,249.141,36.738
-11.3,247.211,36.406
-11.27,245.421,36.119
-11.23,244.228,35.844
-11.2,242.754,35.489
-11.17,240.753,35.272
-11.14,238.753,35.111
-11.1,237.033,34.871
-11.07,235.278,34.561
-11.04,233.383,34.172
-11.01,231.628,33.931
-10.97,230.19,33.737
-10.94,228.329,33.507
-10.91,226.048,33.324
-10.88,224.153,33.175
-10.84,223.03,32.969
-10.81,221.767,32.465
-10.78,219.556,32.007
-10.75,217.45,31.743
-10.71,216.046,31.319
-10.68,214.572,30.804
-10.65,212.361,30.598
-10.61,210.115,30.38
-10.58,208.08,30.071
-10.55,205.904,29.567
-10.52,203.236,29.212
-10.48,201.271,29.005
-10.45,199.025,28.352
-10.42,196.779,28.272
-10.39,195.2,27.997
-10.35,193.234,27.619
-10.32,191.269,27.379
-10.29,189.058,26.886
-10.26,186.566,26.382
-10.22,184.215,26.016
-10.19,181.548,25.282
-10.16,178.915,25.065
-10.13,177.301,25.065
-10.09,175.792,24.538
-10.06,172.809,23.576
-10.03,168.843,23.117
-10.0,166.035,22.877
-9.96,163.789,22.258
-9.93,160.455,21.376
-9.9,156.911,21.204
-9.87,154.735,21.158
-9.83,153.085,20.631
-9.8,150.172,19.83
-9.77,146.663,19.474
-9.74,143.75,19.096
-9.7,141.293,18.604
-9.67,138.696,18.123
-9.64,135.889,17.664
-9.61,132.87,17.206
-9.57,129.677,16.817
-9.54,126.553,16.427
-9.51,123.676,15.946
-9.48,120.728,15.373
-9.44,117.534,14.778
-9.41,114.13,14.125
-9.38,111.041,13.598
-9.34,108.163,13.151
-9.31,105.005,12.624
-9.28,101.25,11.994
-9.25,96.968,11.375
-9.21,92.757,10.78
-9.18,89.177,10.15
-9.15,85.667,9.371
-9.12,81.982,8.775
-9.08,78.297,8.294
-9.05,74.367,7.79
-9.02,70.647,7.32
-8.99,67.348,6.919
-8.95,64.224,6.541
-8.92,60.995,6.209
-8.89,57.697,5.968
-8.86,54.538,5.67
-8.82,51.59,5.235
-8.79,48.993,4.8
-8.76,46.01,4.365
-8.73,42.676,3.918
-8.69,39.166,3.356
-8.66,35.411,2.818
-8.63,31.621,2.303
-8.6,27.69,1.867
-8.56,23.724,1.466
-8.53,19.653,1.157
-8.5,15.617,0.882
-8.47,11.09,0.733
-8.43,7.054,0.642
-8.4,2.773,0.584
-8.37,0.281,0.378
-8.34,-0.246,-0.412
-8.3,-0.386,-1.501
-8.27,-1.79,-2.635
-8.24,-6.247,-3.643
-8.21,-11.406,-4.594
-8.17,-15.793,-5.464
-8.14,-19.513,-6.152
-8.11,-24.005,-6.61
-8.08,-28.778,-6.896
-8.04,-32.814,-7.148
-8.01,-35.938,-7.412
-7.98,-38.78,-7.606
-7.94,-41.833,-7.893
-7.91,-45.378,-8.271
-7.88,-49.028,-8.534
-7.85,-52.257,-8.798
-7.81,-55.135,-9.29
-7.78,-58.398,-9.84
-7.75,-61.768,-10.218
-7.72,-64.856,-10.711
-7.68,-68.19,-11.433
-7.65,-72.05,-11.845
-7.62,-75.49,-12.246
-7.59,-78.438,-12.601
-7.55,-81.316,-12.956
-7.52,-84.579,-13.563
-7.49,-88.615,-14.01
-7.46,-92.3,-14.297
-7.42,-95.319,-14.663
-7.39,-98.372,-15.075
-7.36,-101.425,-15.431
-7.33,-104.514,-15.969
-7.29,-107.953,-16.507
-7.26,-111.427,-17.011
-7.23,-114.937,-17.538
-7.2,-118.411,-18.008
-7.16,-121.921,-18.386
-7.13,-125.36,-18.821
-7.1,-128.448,-19.268
-7.07,-131.256,-19.669
-7.03,-134.555,-20.208
-7.0,-138.521,-20.883
-6.97,-141.785,-21.032
-6.94,-143.855,-21.284
-6.9,-146.066,-21.605
-6.87,-149.014,-21.926
-6.84,-152.348,-22.178
-6.81,-155.261,-22.396
-6.77,-157.542,-22.854
-6.74,-159.789,-23.427
-6.71,-162.877,-23.885
-6.67,-166.176,-24.206
-6.64,-169.054,-24.572
-6.61,-171.475,-24.916
-6.58,-173.827,-25.259
-6.54,-176.424,-25.672
-6.51,-179.617,-26.164
-6.48,-182.811,-26.657
-6.45,-185.548,-27.173
-6.41,-188.216,-27.47
-6.38,-190.848,-27.516
-6.35,-193.094,-27.688
-6.32,-194.814,-27.952
-6.28,-196.217,-28.146
-6.25,-198.042,-28.387
-6.22,-200.394,-28.857
-6.19,-203.271,-29.235
-6.15,-205.518,-29.338
-6.12,-207.202,-29.762
-6.09,-209.624,-30.231
-6.06,-212.572,-30.426
-6.02,-214.853,-30.712
-5.99,-216.783,-31.182
-5.96,-218.748,-31.503
-5.93,-220.679,-31.824
-5.89,-223.241,-32.202
-5.86,-225.803,-32.557
-5.83,-227.803,-33.049
-5.8,-230.19,-33.519
-5.76,-233.138,-33.748
-5.73,-235.77,-33.874
-5.7,-237.63,-34.046
-5.67,-238.963,-34.241
-5.63,-240.472,-34.493
-5.6,-242.683,-34.71
-5.57,-244.543,-34.596
-5.54,-245.07,-34.481
-5.5,-245.456,-34.859
-5.47,-246.965,-35.191
-5.44,-248.088,-35.272
-5.41,-247.491,-35.524
-5.37,-247.597,-36.165
-5.34,-249.667,-36.612
-5.31,-251.808,-36.784
-5.27,-252.896,-37.231
-5.24,-254.405,-37.883
-5.21,-256.616,-38.136
-5.18,-258.09,-38.296
-5.14,-259.599,-38.72
-5.11,-261.354,-38.995
-5.08,-262.933,-38.995
-5.05,-263.741,-39.121
-5.01,-264.828,-39.51
-4.98,-266.618,-39.728
-4.95,-268.198,-39.636
-4.92,-269.601,-39.728
-4.88,-271.146,-40.026
-4.85,-272.725,-40.301
-4.82,-273.813,-40.507
-4.79,-274.866,-40.61
-4.75,-275.848,-40.644
-4.72,-276.901,-40.747
-4.69,-278.165,-40.828
-4.66,-279.498,-40.988
-4.62,-280.586,-41.194
-4.59,-280.937,-41.297
-4.56,-281.113,-41.274
-4.53,-281.429,-41.011
-4.49,-281.604,-40.919
-4.46,-282.13,-40.873
-4.43,-282.622,-40.954
-4.4,-283.394,-41.355
-4.36,-284.517,-41.481
-4.33,-284.868,-41.355
-4.3,-284.903,-41.377
-4.27,-283.85,-41.503
-4.23,-282.025,-41.927
-4.2,-281.604,-42.363
-4.17,-283.113,-42.901
-4.14,-284.868,-43.336
-4.1,-285.008,-43.554
-4.07,-284.482,-43.795
-4.04,-284.868,-43.462
-4.0,-285.184,-42.981
-3.97,-284.657,-42.615
-3.94,-283.499,-42.615
-3.91,-283.394,-42.729
-3.87,-284.271,-42.626
-3.84,-284.236,-42.363
-3.81,-282.657,-42.168
-3.78,-280.902,-41.778
-3.74,-280.13,-41.481
-3.71,-277.533,-39.235
-3.68,-265.881,-34.057
-3.65,-251.001,-31.537
-3.61,-246.825,-32.408
-3.58,-251.106,-32.167
-3.55,-250.159,-31.411
-3.52,-243.21,-33.003
-3.48,-240.086,-35.249
-3.45,-243.175,-36.348
-3.42,-247.562,-37.735
-3.39,-250.826,-39.968
-3.35,-253.001,-41.549
-3.32,-255.107,-42.248
-3.29,-258.371,-42.592
-3.26,-261.459,-42.408
-3.22,-261.951,-41.721
-3.19,-260.512,-40.999
-3.16,-259.634,-40.255
-3.13,-259.529,-39.315
-3.09,-258.652,-38.399
-3.06,-256.265,-37.792
-3.03,-253.633,-37.437
-3.0,-251.703,-36.807
-2.96,-249.457,-36.131
-2.93,-247.281,-35.856
-2.9,-245.842,-35.684
-2.87,-244.263,-35.432
-2.83,-241.982,-35.191
-2.8,-239.595,-35.18
-2.77,-238.261,-35.134
-2.74,-237.419,-34.768
-2.7,-235.629,-34.355
-2.67,-233.383,-34.241
-2.64,-231.804,-34.138
-2.6,-230.821,-33.828
-2.57,-228.961,-33.45
-2.54,-226.961,-33.381
-2.51,-226.118,-33.244
-2.47,-225.066,-32.568
-2.44,-222.083,-31.972
-2.41,-218.748,-31.858
-2.38,-216.818,-31.663
-2.34,-215.204,-31.182
-2.31,-213.098,-30.77
-2.28,-210.957,-30.563
-2.25,-209.062,-30.105
-2.21,-206.641,-29.487
-2.18,-203.903,-29.063
-2.15,-201.376,-28.776
-2.12,-199.411,-28.456
-2.08,-197.481,-28.215
-2.05,-195.586,-27.986
-2.02,-193.796,-27.722
-1.99,-192.111,-27.356
-1.95,-189.865,-26.817
-1.92,-186.952,-26.348
-1.89,-184.109,-25.947
-1.86,-181.653,-25.534
-1.82,-179.547,-25.202
-1.79,-177.547,-24.881
-1.76,-175.125,-24.423
-1.73,-172.318,-23.942
-1.69,-169.51,-23.381
-1.66,-166.702,-22.819
-1.63,-163.86,-22.201
-1.6,-160.947,-21.514
-1.56,-157.858,-21.113
-1.53,-155.402,-20.78
-1.5,-152.84,-20.242
-1.47,-149.4,-19.852
-1.43,-145.821,-19.452
-1.4,-142.522,-18.879
-1.37,-139.468,-18.317
-1.33,-136.626,-17.916
-1.3,-133.748,-17.573
-1.27,-131.186,-17.183
-1.24,-128.554,-16.782
-1.2,-125.887,-16.416
-1.17,-123.184,-15.969
-1.14,-120.236,-15.419
-1.11,-116.832,-14.881
-1.07,-113.428,-14.514
-1.04,-110.725,-14.125
-1.01,-108.269,-13.563
-0.98,-105.18,-12.968
-0.94,-101.46,-12.498
-0.91,-97.635,-11.902
-0.88,-93.669,-11.181
-0.85,-89.703,-10.573
-0.81,-86.334,-10.012
-0.78,-82.93,-9.394
-0.75,-79.034,-8.912
-0.72,-75.174,-8.5
-0.68,-71.84,-8.042
-0.65,-68.822,-7.469
-0.62,-65.558,-6.896
-0.59,-62.013,-6.323
-0.55,-58.504,-5.9
-0.52,-55.205,-5.533
-0.49,-51.59,-5.132
-0.46,-47.87,-4.823
-0.42,-44.957,-4.571
-0.39,-42.255,-4.032
-0.36,-38.85,-3.391
-0.33,-34.814,-2.99
-0.29,-31.024,-2.555
-0.26,-27.234,-2.051
-0.23,-23.338,-1.65
-0.2,-19.302,-1.272
-0.16,-15.091,-1.031
-0.13,-10.88,-0.974
-0.1,-7.124,-0.825
-0.07,-2.773,-0.722
-0.03,-0.07,-0.493
0.0,0.421,0.367
0.03,0.597,1.546
0.07,1.965,2.83
0.1,6.493,3.826
0.13,11.511,4.639
0.16,15.582,5.464
0.2,19.057,6.186
0.23,23.022,6.484
0.26,27.234,6.805
0.29,31.586,7.206
0.33,35.165,7.251
0.36,37.798,7.446
0.39,40.71,8.007
0.42,44.817,8.397
0.46,48.537,8.592
0.49,51.309,8.947
0.52,53.941,9.508
0.55,57.135,9.966
0.59,60.68,10.482
0.62,64.365,10.848
0.65,67.944,11.284
0.68,71.664,11.753
0.72,75.349,12.177
0.75,78.894,12.372
0.78,82.298,12.853
0.81,86.194,13.518
0.85,90.019,13.873
0.88,93.037,14.033
0.91,95.494,14.377
0.94,98.302,14.869
0.98,101.39,15.293
1.01,104.654,15.728
1.04,108.269,16.347
1.07,112.305,17.08
1.11,116.165,17.504
1.14,119.183,17.848
1.17,121.851,18.134
1.2,124.693,18.432
1.24,127.571,18.776
1.27,130.519,19.154
1.3,133.432,19.555
1.33,136.45,20.185
1.37,139.819,20.723
1.4,143.329,21.101
1.43,146.066,21.319
1.47,148.277,21.582
1.5,150.804,21.949
1.53,153.928,22.292
1.56,156.911,22.648
1.6,159.789,23.129
1.63,162.631,23.587
1.66,165.404,23.919
1.69,167.966,24.274
1.73,170.563,24.641
1.76,173.265,24.893
1.79,175.687,25.259
1.82,178.424,25.798
1.86,181.583,26.29
1.89,184.566,26.646
1.92,187.268,27.012
1.95,189.619,27.333
1.99,191.795,27.562
2.02,193.971,27.734
2.05,196.323,27.986
2.08,198.744,28.284
2.12,201.025,28.547
2.15,202.85,28.788
2.18,204.675,29.109
2.21,206.57,29.269
2.25,208.044,29.361
2.28,209.308,29.716
2.31,211.554,30.094
2.34,214.256,30.346
2.38,216.502,30.632
2.41,218.433,30.953
2.44,220.047,31.457
2.47,222.012,31.801
2.51,223.907,31.869
2.54,225.803,32.133
2.57,227.979,32.522
2.6,229.909,32.855
2.64,230.962,33.278
2.67,231.909,33.863
2.7,233.804,34.367
2.74,236.191,34.561
2.77,237.805,34.653
2.8,239.139,34.939
2.83,240.929,35.249
2.87,242.683,35.535
2.9,244.333,35.959
2.93,246.333,36.268
2.96,248.334,36.383
3.0,249.913,36.543
3.03,251.176,36.738
3.06,252.861,36.864
3.09,254.756,36.967
3.13,256.195,37.116
3.16,257.178,37.425
3.19,258.441,37.712
3.22,260.336,37.964
3.26,262.056,38.067
3.29,262.933,38.147
3.32,263.776,38.445
3.35,265.215,38.811
3.39,266.794,38.914
3.42,267.706,39.018
3.45,268.724,39.315
3.48,270.163,39.613
3.52,271.672,39.728
3.55,272.83,39.842
3.58,273.111,40.369
3.61,273.006,41.263
3.65,274.199,41.733
3.68,275.778,41.744
3.71,276.971,41.916
3.74,277.884,42.294
3.78,279.112,42.374
3.81,280.025,42.294
3.84,280.516,42.317
3.87,281.007,42.374
3.91,281.744,42.328
3.94,282.552,42.328
3.97,283.078,42.34
4.0,283.499,42.34
4.04,283.92,42.225
4.07,283.92,41.927
4.1,283.955,42.202
4.14,284.096,42.317
4.17,284.306,42.443
4.2,285.078,42.523
4.23,285.5,42.477
4.27,285.429,42.523
4.3,285.289,42.42
4.33,285.149,42.099
4.36,284.517,41.744
4.4,283.569,41.538
4.43,283.359,41.607
4.46,283.85,41.675
4.49,283.815,41.595
4.53,282.797,41.572
4.56,281.674,41.389
4.59,280.762,40.999
4.62,279.218,40.77
4.66,277.287,40.759
4.69,275.954,40.862
4.72,275.533,40.931
4.75,274.585,40.954
4.79,272.83,40.988
4.82,271.146,40.805
4.85,270.093,40.404
4.88,269.04,40.003
4.92,267.39,39.808
4.95,265.987,39.762
4.98,265.495,39.625
5.01,265.039,39.304
5.05,263.53,39.132
5.08,261.74,38.949
5.11,260.301,38.514
5.14,258.441,38.227
5.18,257.108,38.078
5.21,255.879,37.883
5.24,254.475,37.62
5.27,253.107,37.334
5.31,251.633,37.082
5.34,249.948,36.772
5.37,247.737,36.303
5.41,245.386,36.005
5.44,243.561,35.925
5.47,242.473,35.673
5.5,241.104,35.214
5.54,239.244,35.054
5.57,237.665,34.848
5.6,235.84,34.458
5.63,233.769,34.183
5.67,231.172,33.966
5.7,229.277,34.08
5.73,228.856,34.012
5.76,228.224,33.611
5.8,225.732,33.164
5.83,223.206,33.107
5.86,222.223,32.763
5.89,221.1,32.064
5.93,218.784,31.652
5.96,215.941,31.606
5.99,214.081,31.388
6.02,212.747,30.919
6.06,211.063,30.678
6.09,208.781,30.506
6.12,206.079,30.002
6.15,203.622,29.452
6.19,201.552,29.074
6.22,199.832,28.627
6.25,197.832,28.204
6.28,195.515,27.952
6.32,193.48,27.722
6.35,191.515,27.321
6.38,189.268,26.726
6.41,186.671,26.13
6.45,183.969,25.683
6.48,181.372,25.237
6.51,178.81,24.847
6.54,176.74,24.595
6.58,174.739,24.297
6.61,171.861,23.839
6.64,168.211,23.392
6.67,165.053,23.037
6.71,162.947,22.499
6.74,160.455,21.903
6.77,157.367,21.525
6.81,154.454,21.193
6.84,151.787,20.883
6.87,149.435,20.276
6.9,146.628,19.681
6.94,143.434,19.257
6.97,140.205,18.787
7.0,137.222,18.398
7.03,134.555,17.859
7.07,131.993,17.561
7.1,129.396,17.16
7.13,126.518,16.691
7.16,123.325,16.164
7.2,119.955,15.66
7.23,116.762,15.133
7.26,113.884,14.549
7.29,111.111,14.09
7.33,108.304,13.609
7.36,104.97,12.991
7.39,100.934,12.395
7.42,96.933,11.799
7.46,93.108,11.146
7.49,89.282,10.493
7.52,85.387,9.84
7.55,81.245,9.394
7.59,77.876,9.038
7.62,75.069,8.443
7.65,71.664,7.859
7.68,68.05,7.469
7.72,64.61,6.942
7.75,61.206,6.392
7.78,57.802,5.945
7.81,54.608,5.613
7.85,51.59,5.212
7.88,48.291,4.857
7.91,45.062,4.387
7.94,41.763,3.792
7.98,38.043,3.276
8.01,34.183,2.875
8.04,30.322,2.463
8.08,26.532,2.096
8.11,22.882,1.856
8.14,19.302,1.638
8.17,15.898,1.363
8.21,12.318,1.203
8.24,8.739,1.111
8.27,4.633,0.825
8.3,0.877,0.561
8.34,-0.281,-0.172
8.37,-0.386,-1.42
8.4,-1.334,-2.715
8.43,-5.37,-3.746
8.47,-10.634,-4.662
8.5,-15.196,-5.556
8.53,-18.881,-6.175
8.56,-22.917,-6.587
8.6,-27.76,-6.931
8.63,-32.603,-7.251
8.66,-36.218,-7.274
8.69,-38.605,-7.412
8.73,-41.237,-7.732
8.76,-44.571,-8.053
8.79,-47.87,-8.385
8.82,-51.099,-8.867
8.86,-54.433,-9.336
8.89,-57.697,-9.772
8.92,-61.171,-10.207
8.95,-64.786,-10.699
8.99,-68.33,-11.169
9.02,-71.875,-11.559
9.05,-75.42,-11.994
9.08,-78.824,-12.521
9.12,-82.368,-13.071
9.15,-85.738,-13.632
9.18,-89.001,-14.136
9.21,-92.511,-14.606
9.25,-96.021,-15.075
9.28,-99.214,-15.499
9.31,-102.338,-15.877
9.34,-105.637,-16.278
9.38,-109.006,-16.725
9.41,-112.129,-17.206
9.44,-115.147,-17.699
9.48,-118.481,-18.123
9.51,-121.78,-18.409
9.54,-124.448,-18.833
9.57,-127.045,-19.291
9.61,-130.484,-19.635
9.64,-134.45,-19.944
9.67,-138.626,-20.528
9.7,-142.136,-20.941
9.74,-144.241,-21.158
9.77,-145.961,-21.307
9.8,-148.418,-21.525
9.83,-152.664,-22.224
9.87,-156.735,-22.419
9.9,-158.841,-22.613
9.93,-160.49,-23.163
9.96,-163.509,-23.713
10.0,-167.018,-23.976
10.03,-169.756,-24.332
10.06,-171.826,-24.733
10.09,-173.897,-25.088
10.13,-176.248,-25.397
10.16,-179.196,-25.912
10.19,-182.6,-26.394
10.22,-185.583,-26.76
10.26,-187.794,-27.127
10.29,-189.935,-27.505
10.32,-192.427,-27.631
10.35,-194.954,-27.803
10.39,-197.235,-28.146
10.42,-200.043,-29.017
10.45,-204.149,-29.819
10.48,-207.553,-29.796
10.52,-208.781,-29.819
10.55,-209.518,-30.117
10.58,-210.887,-30.277
10.61,-212.466,-30.22
10.65,-213.66,-30.38
10.68,-214.923,-30.735
10.71,-216.537,-30.987
10.75,-218.082,-31.193
10.78,-219.661,-31.56
10.81,-221.486,-31.904
10.84,-223.241,-32.076
10.88,-224.75,-32.144
10.91,-225.838,-32.385
10.94,-227.312,-32.557
10.97,-228.926,-32.66
11.01,-230.365,-32.912
11.04,-231.699,-33.072
11.07,-232.927,-33.313
11.1,-234.576,-33.725
11.14,-236.086,-34.183
11.17,-237.454,-34.252
11.2,-239.209,-34.71
11.23,-241.982,-35.226
11.27,-245.105,-35.856
11.3,-247.632,-36.44
11.33,-249.632,-36.761
11.36,-251.457,-36.807
11.4,-253.528,-36.807
11.43,-255.318,-36.784
11.46,-256.16,-36.795
11.49,-256.862,-37.07
11.53,-258.301,-37.047
11.56,-259.424,-37.013
11.59,-259.634,-37.803
11.62,-259.95,-38.456
11.66,-260.898,-38.8
11.69,-262.372,-39.224
11.72,-264.513,-39.785
