Date Time,Voltage RMS Min (V),Voltage RMS Avg (V),Voltage RMS Max (V),Current RMS Min (A),Current RMS Avg (A),Current RMS Max (A),Real Power Min (kW),Real Power Avg (kW),Real Power Max (kW),Reactive Power Min (kVAR),Reactive Power Avg (kVAR),Reactive Power Max (kVAR),Apparent Power Min (kVA),Apparent Power Avg (kVA),Apparent Power Max (kVA),Frequency Min (Hz),Frequency Avg (Hz),Frequency Max (Hz)
2023/06/23 08:29:00,203.0,207.2,209.4,0.596,5.98,17.607,-0.0,1.165,3.565,-0.227,-0.142,-0.115,0.125,1.23,3.575,60.008,60.012,60.019
2023/06/23 08:30:00,198.0,198.9,203.5,17.435,28.845,29.67,3.54,5.734,5.898,-0.23,-0.061,0.02,3.549,5.736,5.899,59.991,60.005,60.017
2023/06/23 08:31:00,198.0,198.5,199.2,29.2,29.441,29.704,5.797,5.843,5.893,-0.145,-0.049,0.04,5.798,5.846,5.896,59.979,59.998,60.011
2023/06/23 08:32:00,197.7,198.6,199.2,29.2,29.452,29.75,5.793,5.849,5.896,-0.144,-0.058,0.016,5.796,5.851,5.897,59.979,59.996,60.012
2023/06/23 08:33:00,197.5,198.3,199.0,29.2,29.441,29.681,5.782,5.839,5.884,-0.177,-0.046,0.031,5.785,5.841,5.886,59.976,59.986,59.996
2023/06/23 08:34:00,198.0,200.2,208.7,0.596,24.263,29.716,-0.0,4.813,5.889,-0.245,-0.072,0.043,0.124,4.827,5.89,59.979,59.985,59.992
2023/06/23 08:35:00,198.0,198.9,205.5,8.89,27.791,29.75,1.807,5.518,5.899,-0.213,-0.065,0.017,1.827,5.522,5.901,59.975,59.987,59.995
2023/06/23 08:36:00,197.6,198.3,199.0,29.223,29.475,29.773,5.79,5.844,5.892,-0.141,-0.047,0.036,5.792,5.846,5.895,59.973,59.986,59.999
2023/06/23 08:37:00,197.9,198.5,199.2,29.257,29.475,29.704,5.806,5.849,5.896,-0.15,-0.055,0.018,5.809,5.852,5.897,59.965,59.982,59.998
2023/06/23 08:38:00,198.0,198.6,199.3,29.28,29.498,29.784,5.814,5.857,5.908,-0.142,-0.057,0.034,5.817,5.86,5.909,59.976,59.988,60.006
