Trigger_Date,2023/06/23
Trigger_Time,T 08:29:51.065 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.511
Time (ms),Voltage (V),Current (A)
-16.65,-80.052,-0.584
-16.61,-82.79,-0.653
-16.58,-85.632,-0.619
-16.55,-89.037,-0.836
-16.52,-93.283,-1.031
-16.48,-97.67,-0.928
-16.45,-101.495,-0.79
-16.42,-104.829,-0.687
-16.39,-107.812,-0.607
-16.35,-110.725,-0.664
-16.32,-114.305,-0.871
-16.29,-118.411,-0.951
-16.26,-122.693,-0.951
-16.22,-126.869,-0.894
-16.19,-130.695,-0.825
-16.16,-133.958,-0.642
-16.13,-137.012,-0.676
-16.09,-139.995,-0.63
-16.06,-142.873,-0.619
-16.03,-145.891,-0.71
-16.0,-149.365,-0.779
-15.96,-153.12,-0.882
-15.93,-156.454,-0.642
-15.9,-158.981,-0.424
-15.87,-161.298,-0.573
-15.83,-164.035,-0.653
-15.8,-166.983,-0.653
-15.77,-170.317,-0.79
-15.74,-174.037,-0.859
-15.7,-177.441,-0.699
-15.67,-180.249,-0.515
-15.64,-182.425,-0.435
-15.61,-184.355,-0.412
-15.57,-186.461,-0.493
-15.54,-189.198,-0.676
-15.51,-192.708,-0.859
-15.48,-196.638,-0.894
-15.44,-200.288,-0.745
-15.41,-203.096,-0.504
-15.38,-205.061,-0.332
-15.35,-206.395,-0.241
-15.31,-207.623,-0.286
-15.28,-209.238,-0.367
-15.25,-211.484,-0.619
-15.22,-214.502,-0.733
-15.18,-217.59,-0.642
-15.15,-220.047,-0.458
-15.12,-221.872,-0.321
-15.09,-223.065,-0.206
-15.05,-224.083,-0.218
-15.02,-225.452,-0.367
-14.99,-227.592,-0.573
-14.96,-230.4,-0.664
-14.92,-233.313,-0.63
-14.89,-235.699,-0.435
-14.86,-237.209,-0.229
-14.82,-238.297,-0.241
-14.79,-239.735,-0.367
-14.76,-241.701,-0.481
-14.73,-243.912,-0.493
-14.69,-246.298,-0.527
-14.66,-248.474,-0.435
-14.63,-250.369,-0.389
-14.6,-252.054,-0.355
-14.56,-253.317,-0.218
-14.53,-254.23,-0.183
-14.5,-255.634,-0.367
-14.47,-257.809,-0.596
-14.43,-260.793,-0.733
-14.4,-264.021,-0.687
-14.37,-266.548,-0.481
-14.34,-268.022,-0.16
-14.3,-268.443,0.011
-14.27,-268.513,-0.034
-14.24,-269.005,-0.137
-14.21,-270.374,-0.424
-14.17,-272.69,-0.607
-14.14,-274.374,-0.206
-14.11,-275.287,-0.126
-14.08,-276.375,-0.344
-14.04,-277.287,-0.103
