Trigger_Date,2023/07/31
Trigger_Time,T 22:48:36.496 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.538
Time (ms),Voltage (V),Current (A)
-16.66,-11.511,-0.16
-16.63,-16.074,-0.493
-16.59,-20.425,-0.836
-16.56,-24.567,-1.26
-16.53,-28.708,-1.821
-16.5,-33.025,-2.337
-16.46,-37.447,-2.772
-16.43,-41.939,-3.093
-16.4,-46.326,-3.379
-16.37,-50.677,-3.608
-16.33,-54.854,-3.769
-16.3,-58.995,-3.918
-16.27,-62.996,-4.055
-16.24,-66.927,-4.204
-16.2,-70.682,-4.376
-16.17,-74.297,-4.582
-16.14,-77.876,-4.846
-16.11,-81.526,-5.109
-16.07,-85.281,-5.338
-16.04,-88.931,-5.556
-16.01,-92.581,-5.819
-15.98,-96.301,-6.06
-15.94,-100.056,-6.266
-15.91,-103.601,-6.484
-15.88,-106.97,-6.736
-15.85,-110.55,-6.988
-15.81,-114.235,-7.228
-15.78,-117.78,-7.412
-15.75,-121.5,-7.629
-15.72,-125.044,-7.859
-15.68,-128.87,-8.099
-15.65,-132.484,-8.271
-15.62,-136.099,-8.489
-15.59,-138.345,-8.5
-15.55,-141.995,-9.13
-15.52,-146.838,-9.13
-15.49,-150.383,-9.359
-15.46,-155.016,-9.84
-15.42,-159.473,-9.932
-15.39,-163.017,-10.115
-15.36,-166.281,-10.425
-15.33,-170.107,-10.619
-15.29,-173.37,-10.734
-15.26,-176.494,-10.94
-15.23,-179.828,-11.181
-15.2,-183.408,-11.33
-15.16,-186.531,-11.478
-15.13,-189.97,-11.73
-15.1,-192.813,-11.753
-15.07,-196.112,-12.2
-15.03,-199.902,-12.257
-15.0,-202.534,-12.475
-14.97,-206.009,-12.842
-14.94,-209.483,-12.968
-14.9,-212.186,-13.048
-14.87,-213.098,-13.002
-14.84,-216.292,-13.724
-14.8,-222.469,-13.884
-14.77,-225.838,-13.758
-14.74,-227.663,-14.159
-14.71,-230.225,-14.491
-14.67,-232.751,-14.537
-14.64,-234.682,-14.526
-14.61,-236.752,-14.514
-14.58,-238.928,-14.594
-14.54,-241.245,-14.846
-14.51,-243.842,-15.144
-14.48,-246.649,-15.431
-14.45,-249.492,-15.694
-14.41,-252.405,-15.866
-14.38,-255.212,-16.026
-14.35,-257.774,-16.164
-14.32,-260.196,-16.278
-14.28,-262.477,-16.404
-14.25,-264.583,-16.542
-14.22,-266.618,-16.599
-14.19,-268.513,-16.714
-14.15,-270.444,-16.851
-14.12,-272.479,-16.977
-14.09,-274.445,-17.092
-14.06,-276.375,-17.241
-14.02,-278.375,-17.47
-13.99,-280.551,-17.607
-13.96,-282.622,-17.733
-13.93,-284.517,-17.859
-13.89,-286.377,-18.031
-13.86,-288.167,-18.146
-13.83,-289.992,-18.26
-13.8,-291.711,-18.295
-13.76,-293.431,-18.409
-13.73,-294.975,-18.489
-13.7,-296.519,-18.695
-13.67,-297.853,-18.684
-13.63,-298.976,-18.856
-13.6,-300.906,-18.947
-13.57,-301.854,-18.947
-13.54,-303.152,-19.131
-13.5,-304.416,-19.108
-13.47,-305.539,-19.268
-13.44,-306.732,-19.36
-13.41,-308.031,-19.474
-13.37,-309.189,-19.497
-13.34,-310.312,-19.6
-13.31,-311.365,-19.646
-13.28,-312.312,-19.704
-13.24,-313.19,-19.704
-13.21,-313.857,-19.818
-13.18,-314.594,-19.875
-13.15,-315.295,-19.921
-13.11,-315.962,-19.967
-13.08,-316.629,-20.013
-13.05,-317.296,-19.99
-13.02,-317.963,-19.978
-12.98,-318.524,-20.001
-12.95,-319.191,-20.07
-12.92,-319.647,-20.082
-12.89,-320.139,-20.208
-12.85,-320.735,-20.196
-12.82,-321.051,-20.288
-12.79,-321.613,-20.368
-12.76,-322.244,-20.322
-12.72,-322.665,-20.311
-12.69,-323.016,-20.379
-12.66,-323.473,-20.414
-12.62,-323.929,-20.402
-12.59,-324.245,-20.46
-12.56,-324.631,-20.471
-12.53,-325.017,-20.414
-12.49,-325.438,-20.345
-12.46,-325.684,-20.357
-12.43,-325.929,-20.402
-12.4,-326.175,-20.437
-12.36,-326.456,-20.448
-12.33,-326.701,-20.448
-12.3,-326.982,-20.391
-12.27,-327.228,-20.345
-12.23,-327.403,-20.276
-12.2,-327.614,-20.253
-12.17,-327.789,-20.15
-12.14,-327.789,-20.162
-12.1,-327.965,-20.208
-12.07,-328.07,-20.173
-12.04,-328.21,-20.185
-12.01,-328.386,-20.104
-11.97,-328.561,-19.967
-11.94,-328.561,-19.887
-11.91,-328.596,-19.864
-11.88,-328.667,-19.749
-11.84,-328.667,-19.726
-11.81,-328.702,-19.658
-11.78,-328.667,-19.635
-11.75,-328.667,-19.623
-11.71,-328.667,-19.578
-11.68,-328.632,-19.578
-11.65,-328.702,-19.44
-11.62,-328.596,-19.348
-11.58,-328.596,-19.268
-11.55,-328.491,-19.108
-11.52,-328.316,-19.096
-11.49,-328.175,-18.959
-11.45,-327.93,-18.833
-11.42,-327.649,-18.695
-11.39,-327.193,-18.592
