Date Time,Voltage RMS Min (V),Voltage RMS Avg (V),Voltage RMS Max (V),Current RMS Min (A),Current RMS Avg (A),Current RMS Max (A),Real Power Min (kW),Real Power Avg (kW),Real Power Max (kW),Reactive Power Min (kVAR),Reactive Power Avg (kVAR),Reactive Power Max (kVAR),Apparent Power Min (kVA),Apparent Power Avg (kVA),Apparent Power Max (kVA),Frequency Min (Hz),Frequency Avg (Hz),Frequency Max (Hz)
2023/07/06 08:51:00,194.6,195.4,195.9,30.197,30.518,32.717,5.897,5.96,6.366,-0.193,-0.19,-0.184,5.902,5.965,6.371,60.029,60.031,60.036
2023/07/06 08:52:00,194.2,196.0,198.4,26.588,30.38,34.527,5.095,5.949,6.587,-0.666,-0.193,-0.102,5.34,5.955,6.711,60.03,60.035,60.041
2023/07/06 08:53:00,193.9,196.1,199.8,26.164,30.414,35.776,4.93,5.96,6.762,-0.537,-0.195,-0.099,5.216,5.966,7.015,60.027,60.033,60.04
2023/07/06 08:54:00,194.1,196.2,199.2,26.107,30.426,36.131,4.909,5.965,6.872,-0.606,-0.194,-0.099,5.2,5.971,7.063,60.014,60.022,60.029
2023/07/06 08:55:00,193.7,196.2,198.8,26.187,30.426,35.81,4.921,5.965,6.751,-0.445,-0.195,-0.099,5.207,5.971,7.001,60.004,60.015,60.026
2023/07/06 08:56:00,193.8,195.7,198.3,26.416,30.414,35.524,5.185,5.946,6.596,-0.782,-0.19,-0.096,5.197,5.952,6.703,59.992,60.008,60.02
2023/07/06 08:57:00,193.7,196.5,199.1,26.21,30.414,36.154,4.916,5.973,6.881,-0.405,-0.194,-0.097,5.21,5.979,7.069,60.001,60.012,60.021
2023/07/06 08:58:00,195.8,196.4,196.9,30.3,30.403,30.552,5.937,5.967,5.995,-0.197,-0.193,-0.19,5.942,5.973,6.001,60.004,60.016,60.025
2023/07/06 08:59:00,196.0,196.4,196.9,30.3,30.414,30.563,5.945,5.97,5.997,-0.197,-0.193,-0.19,5.949,5.976,6.003,60.001,60.007,60.014
2023/07/06 09:00:00,195.7,196.3,196.9,30.3,30.426,30.586,5.939,5.968,6.0,-0.197,-0.193,-0.189,5.945,5.973,6.005,59.991,60.006,60.029
2023/07/06 09:01:00,195.6,196.2,196.9,30.288,30.414,30.563,5.933,5.965,5.996,-0.196,-0.192,-0.189,5.937,5.971,6.001,60.008,60.022,60.032
2023/07/06 09:02:00,195.8,196.4,196.9,30.3,30.426,30.586,5.942,5.97,5.998,-0.196,-0.192,-0.189,5.947,5.976,6.004,59.993,60.003,60.009
2023/07/06 09:03:00,195.8,196.4,196.9,30.277,30.414,30.552,5.939,5.97,5.997,-0.196,-0.192,-0.189,5.944,5.975,6.002,59.984,59.994,60.007
2023/07/06 09:04:00,195.8,196.4,196.8,30.3,30.529,30.678,5.937,5.99,6.021,-0.195,-0.192,-0.189,5.942,5.995,6.026,59.99,59.997,60.004
