Date Time,Voltage RMS Min (V),Voltage RMS Avg (V),Voltage RMS Max (V),Current RMS Min (A),Current RMS Avg (A),Current RMS Max (A),Real Power Min (kW),Real Power Avg (kW),Real Power Max (kW),Reactive Power Min (kVAR),Reactive Power Avg (kVAR),Reactive Power Max (kVAR),Apparent Power Min (kVA),Apparent Power Avg (kVA),Apparent Power Max (kVA),Frequency Min (Hz),Frequency Avg (Hz),Frequency Max (Hz)
2023/08/25 09:47:00,198.6,199.2,200.2,30.105,30.311,30.449,5.998,6.035,6.074,0.104,0.115,0.128,6.004,6.041,6.082,59.999,60.011,60.02
2023/08/25 09:48:00,198.7,199.4,200.0,30.128,30.3,30.449,6.002,6.037,6.071,0.105,0.118,0.13,6.008,6.044,6.078,59.986,60.004,60.014
2023/08/25 09:49:00,199.0,199.4,199.9,30.128,30.3,30.449,6.004,6.038,6.07,0.106,0.117,0.13,6.009,6.044,6.076,59.981,59.995,60.003
2023/08/25 09:50:00,198.9,199.4,200.0,30.117,30.3,30.449,6.007,6.038,6.069,0.106,0.117,0.13,6.012,6.044,6.078,59.998,60.008,60.017
2023/08/25 09:51:00,198.9,199.3,199.9,30.14,30.311,30.449,6.004,6.037,6.071,0.105,0.117,0.131,6.011,6.044,6.078,59.988,60.002,60.023
2023/08/25 09:52:00,198.6,199.1,199.7,30.128,30.323,30.449,6.004,6.032,6.063,0.106,0.117,0.13,6.01,6.039,6.07,59.971,59.997,60.017
2023/08/25 09:53:00,198.6,199.1,199.7,30.174,30.334,30.449,6.004,6.033,6.062,0.106,0.117,0.129,6.01,6.039,6.069,59.975,59.991,60.005
2023/08/25 09:54:00,198.4,199.0,199.5,30.197,30.346,30.46,6.005,6.032,6.058,0.106,0.117,0.13,6.009,6.038,6.066,59.986,59.998,60.013
2023/08/25 09:55:00,198.5,198.9,199.4,30.22,30.346,30.46,6.007,6.032,6.058,0.105,0.117,0.129,6.013,6.038,6.064,59.999,60.01,60.021
2023/08/25 09:56:00,198.4,198.9,199.4,30.185,30.346,30.46,6.003,6.032,6.059,0.106,0.118,0.129,6.009,6.038,6.066,59.991,60.009,60.029
2023/08/25 09:57:00,198.3,198.9,199.5,30.197,30.334,30.46,6.003,6.03,6.059,0.106,0.116,0.128,6.008,6.036,6.067,59.995,60.015,60.026
2023/08/25 09:58:00,198.3,198.9,199.5,30.208,30.346,30.46,6.003,6.031,6.059,0.105,0.116,0.129,6.01,6.037,6.067,60.0,60.013,60.026
2023/08/25 09:59:00,198.1,198.7,199.4,30.22,30.357,30.46,5.999,6.028,6.056,0.103,0.115,0.129,6.005,6.034,6.062,60.015,60.021,60.029
2023/08/25 10:00:00,198.2,198.8,199.4,30.231,30.346,30.46,6.003,6.03,6.056,0.105,0.117,0.129,6.008,6.037,6.063,60.013,60.022,60.033
2023/08/25 10:01:00,198.4,198.8,199.4,30.22,30.346,30.46,6.001,6.03,6.057,0.105,0.115,0.128,6.007,6.036,6.063,60.011,60.022,60.03
2023/08/25 10:02:00,198.4,199.1,199.8,30.174,30.334,30.46,6.006,6.035,6.067,0.106,0.117,0.129,6.013,6.041,6.073,60.019,60.03,60.051
2023/08/25 10:03:00,198.4,199.0,199.5,30.174,30.346,30.449,6.004,6.032,6.059,0.105,0.116,0.127,6.01,6.039,6.067,60.018,60.026,60.037
2023/08/25 10:04:00,198.5,199.0,199.5,30.208,30.334,30.46,6.007,6.032,6.058,0.105,0.115,0.128,6.012,6.039,6.065,60.001,60.02,60.032
2023/08/25 10:05:00,198.2,198.8,199.3,30.231,30.357,30.46,6.0,6.029,6.056,0.104,0.116,0.128,6.007,6.036,6.064,59.997,60.012,60.026
2023/08/25 10:06:00,0.0,147.2,199.1,0.0,22.476,30.46,-0.004,4.462,6.051,-0.0,0.086,0.128,0.0,4.467,6.058,59.867,59.999,60.015
2023/08/25 10:07:00,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2023/08/25 10:08:00,0.1,152.1,210.4,0.0,15.373,30.449,-0.0,3.06,6.065,-0.062,0.056,0.209,0.0,3.08,6.07,59.867,59.994,60.009
2023/08/25 10:09:00,198.6,199.2,199.8,30.151,30.323,30.46,6.006,6.036,6.066,0.107,0.117,0.13,6.012,6.042,6.073,59.982,60.006,60.03
