Trigger_Date,2023/08/25
Trigger_Time,T 11:52:05.688 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.545
Time (ms),Voltage (V),Current (A)
-16.66,4.843,0.298
-16.63,4.808,0.332
-16.6,8.037,0.813
-16.57,12.073,0.676
-16.53,14.214,0.985
-16.5,18.39,1.707
-16.47,23.514,2.486
-16.44,29.305,2.99
-16.4,34.042,3.07
-16.37,36.78,3.356
-16.34,38.113,4.239
-16.31,39.798,5.247
-16.27,42.43,5.808
-16.24,45.343,5.888
-16.21,48.08,5.762
-16.18,50.888,5.785
-16.14,54.152,6.152
-16.11,57.942,6.621
-16.08,62.048,7.125
-16.04,65.804,7.767
-16.01,69.243,8.557
-15.98,72.682,9.439
-15.95,76.086,10.207
-15.91,79.385,10.734
-15.88,82.404,11.215
-15.85,85.457,11.753
-15.82,88.791,12.223
-15.78,92.02,12.578
-15.75,95.284,12.991
-15.72,98.477,13.472
-15.69,101.881,13.941
-15.65,105.251,14.445
-15.62,108.514,14.984
-15.59,111.813,15.683
-15.56,115.077,16.198
-15.52,118.166,16.645
-15.49,120.903,17.057
-15.46,124.062,17.699
-15.43,127.396,18.237
-15.39,130.695,18.547
-15.36,134.029,19.257
-15.33,137.398,19.852
-15.3,140.942,20.437
-15.26,144.136,21.113
-15.23,147.084,21.64
-15.2,149.927,22.166
-15.17,153.085,22.762
-15.13,156.209,23.209
-15.1,159.122,23.495
-15.07,161.789,23.862
-15.04,164.632,24.309
-15.0,167.615,24.652
-14.97,170.457,24.985
-14.94,173.195,25.374
-14.91,175.792,25.706
-14.87,178.459,26.096
-14.84,181.302,26.531
-14.81,183.934,26.898
-14.78,186.32,27.207
-14.74,188.637,27.562
-14.71,191.023,27.837
-14.68,193.234,27.997
-14.65,195.27,28.181
-14.61,197.2,28.41
-14.58,199.271,28.582
-14.55,201.552,28.845
-14.52,203.798,29.028
-14.48,205.693,29.2
-14.45,207.307,29.475
-14.42,209.343,29.842
-14.39,211.519,30.162
-14.35,213.695,30.46
-14.32,215.59,30.804
-14.29,217.52,31.193
-14.25,219.591,31.629
-14.22,221.661,31.984
-14.19,223.381,32.259
-14.16,224.995,32.66
-14.12,227.066,33.095
-14.09,229.172,33.381
-14.06,231.102,33.656
-14.03,232.787,33.954
-13.99,234.752,34.39
-13.96,236.647,34.802
-13.93,238.261,35.008
-13.9,239.735,35.34
-13.86,241.49,35.787
-13.83,243.35,36.131
-13.8,245.105,36.348
-13.77,246.649,36.738
-13.73,248.158,37.036
-13.7,249.562,37.196
-13.67,250.861,37.425
-13.64,252.545,37.712
-13.6,254.089,37.861
-13.57,255.318,38.09
-13.54,256.827,38.514
-13.51,258.652,38.846
-13.47,260.371,39.201
-13.44,261.916,39.739
-13.41,263.179,40.026
-13.38,264.442,40.266
-13.34,265.846,40.656
-13.31,267.496,41.011
-13.28,269.075,41.24
-13.25,270.303,41.526
-13.21,271.321,41.893
-13.18,272.549,42.179
-13.15,273.883,42.26
-13.12,274.936,42.386
-13.08,275.883,42.66
-13.05,276.971,42.912
-13.02,278.13,43.119
-12.99,279.288,43.325
-12.95,280.341,43.497
-12.92,281.113,43.611
-12.89,281.744,43.772
-12.86,282.552,43.875
-12.82,283.113,43.852
-12.79,283.71,43.943
-12.76,284.587,44.115
-12.73,285.324,44.287
-12.69,285.5,44.127
-12.66,285.886,44.241
-12.63,286.272,44.356
-12.6,286.482,44.241
-12.56,286.377,44.081
-12.53,286.272,43.955
-12.5,286.623,43.898
-12.46,286.728,43.76
-12.43,286.552,43.737
-12.4,286.588,43.795
-12.37,286.447,43.737
-12.33,286.342,43.669
-12.3,286.166,43.543
-12.27,285.921,43.508
-12.24,285.71,43.462
-12.2,285.535,43.611
-12.17,285.184,43.554
-12.14,284.306,43.302
-12.11,283.604,43.107
-12.07,283.183,42.993
-12.04,282.306,42.66
-12.01,281.042,42.305
-11.98,280.095,42.282
-11.94,279.849,42.305
-11.91,279.112,42.076
-11.88,277.814,41.847
-11.85,276.726,41.733
-11.81,275.743,41.423
-11.78,274.55,41.251
-11.75,273.216,40.988
-11.72,271.742,40.736
-11.68,270.444,40.507
-11.65,269.25,40.335
-11.62,267.952,40.094
-11.59,266.338,39.865
-11.55,264.899,39.579
-11.52,263.565,39.293
-11.49,262.091,39.029
-11.46,260.477,38.788
-11.42,258.862,38.514
-11.39,257.178,38.307
-11.36,255.493,38.09
-11.33,254.019,37.815
-11.29,252.194,37.563
-11.26,250.194,37.311
-11.23,248.299,37.139
-11.2,246.754,36.944
-11.16,245.07,36.658
-11.13,243.245,36.44
-11.1,241.595,36.348
-11.07,239.911,36.234
-11.03,237.946,36.039
-11.0,236.296,35.936
-10.97,234.752,35.867
-10.94,233.032,35.638
-10.9,231.067,35.443
-10.87,229.137,35.295
-10.84,227.171,35.1
-10.81,225.241,34.79
-10.77,223.1,34.447
-10.74,220.959,34.149
-10.71,218.819,33.84
-10.67,216.924,33.53
-10.64,214.783,33.267
-10.61,212.712,33.061
-10.58,210.712,32.855
-10.54,208.711,32.602
-10.51,206.5,32.328
-10.48,204.359,32.098
-10.45,202.289,31.812
-10.41,200.043,31.48
-10.38,197.726,31.274
-10.35,195.586,31.033
-10.32,193.41,30.655
-10.28,190.988,30.254
-10.25,188.286,29.933
-10.22,185.583,29.578
-10.19,183.197,29.177
-10.15,180.916,28.776
-10.12,178.389,28.307
-10.09,175.546,27.906
-10.06,172.774,27.505
-10.02,170.212,27.058
-9.99,167.685,26.577
-9.96,164.632,26.016
-9.93,161.543,25.5
-9.89,158.49,25.111
-9.86,155.437,24.435
-9.83,152.699,24.068
-9.8,149.857,23.587
-9.76,147.119,23.175
-9.73,144.031,22.762
-9.7,140.907,22.155
-9.67,137.749,21.857
-9.63,134.906,21.422
-9.6,132.169,20.906
-9.57,128.975,20.379
-9.54,125.36,19.818
-9.5,121.851,19.337
-9.47,118.762,18.902
-9.44,115.814,18.272
-9.41,112.515,17.55
-9.37,109.006,17.057
-9.34,105.637,16.611
