Date Time,Voltage RMS Min (V),Voltage RMS Avg (V),Voltage RMS Max (V),Current RMS Min (A),Current RMS Avg (A),Current RMS Max (A),Real Power Min (kW),Real Power Avg (kW),Real Power Max (kW),Reactive Power Min (kVAR),Reactive Power Avg (kVAR),Reactive Power Max (kVAR),Apparent Power Min (kVA),Apparent Power Avg (kVA),Apparent Power Max (kVA),Frequency Min (Hz),Frequency Avg (Hz),Frequency Max (Hz)
2023/06/19 11:08:00,196.4,200.4,208.2,0.321,20.173,30.346,-0.0,3.968,5.966,-0.063,0.101,0.225,0.067,3.998,5.973,59.993,59.998,60.014
2023/06/19 11:09:00,196.4,196.7,197.2,29.842,30.14,30.346,5.864,5.923,5.969,0.136,0.146,0.158,5.873,5.931,5.977,59.981,59.992,60.008
2023/06/19 11:10:00,196.3,196.7,197.2,29.842,30.162,30.357,5.866,5.927,5.969,0.135,0.145,0.157,5.874,5.935,5.978,60.001,60.013,60.032
2023/06/19 11:11:00,196.0,196.5,197.3,29.819,30.082,30.346,5.865,5.906,5.963,0.133,0.143,0.156,5.873,5.913,5.97,59.993,60.014,60.034
2023/06/19 11:12:00,196.3,196.7,197.2,29.853,30.094,30.357,5.867,5.914,5.97,0.134,0.145,0.157,5.876,5.922,5.978,60.008,60.018,60.036
2023/06/19 11:13:00,196.1,196.7,197.3,29.807,30.071,30.334,5.863,5.907,5.962,0.131,0.145,0.159,5.872,5.915,5.97,59.983,60.0,60.016
2023/06/19 11:14:00,196.0,196.5,197.1,29.853,30.151,30.346,5.862,5.92,5.968,0.134,0.145,0.159,5.871,5.928,5.975,60.003,60.017,60.035
2023/06/19 11:15:00,196.3,196.7,197.2,29.842,30.197,30.357,5.867,5.932,5.973,0.136,0.146,0.158,5.876,5.94,5.98,59.994,60.016,60.036
2023/06/19 11:16:00,196.1,196.7,197.4,29.83,30.14,30.346,5.866,5.921,5.972,0.135,0.145,0.158,5.873,5.929,5.979,60.02,60.03,60.038
2023/06/19 11:17:00,196.1,196.6,197.3,29.842,30.151,30.346,5.859,5.922,5.966,0.136,0.145,0.158,5.867,5.93,5.973,60.006,60.017,60.037
2023/06/19 11:18:00,196.0,196.6,197.1,29.876,30.151,30.346,5.862,5.92,5.969,0.135,0.145,0.157,5.87,5.928,5.978,60.021,60.028,60.037
2023/06/19 11:19:00,196.0,196.5,197.2,29.83,30.128,30.346,5.86,5.914,5.964,0.134,0.144,0.158,5.868,5.922,5.972,60.015,60.022,60.033
