Trigger_Date,2023/06/19
Trigger_Time,T 13:00:04.255 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.570
Time (ms),Voltage (V),Current (A)
-16.68,-15.547,-0.493
-16.64,-14.529,-0.962
-16.61,-11.476,-1.604
-16.58,-16.249,-1.833
-16.55,-20.601,-1.363
-16.51,-23.338,-0.836
-16.48,-25.058,-0.733
-16.45,-27.304,-0.962
-16.42,-30.498,-1.604
-16.38,-34.955,-2.096
-16.35,-39.728,-2.497
-16.32,-44.36,-2.669
-16.28,-48.291,-2.577
-16.25,-51.625,-2.577
-16.22,-54.608,-2.738
-16.19,-57.626,-2.956
-16.15,-60.68,-3.162
-16.12,-63.873,-3.391
-16.09,-67.242,-3.574
-16.06,-70.401,-3.712
-16.02,-73.489,-3.826
-15.99,-76.543,-4.044
-15.96,-79.666,-4.284
-15.93,-82.965,-4.399
-15.89,-86.299,-4.72
-15.86,-89.774,-4.983
-15.83,-92.932,-5.04
-15.8,-95.529,-5.258
-15.76,-98.267,-5.625
-15.73,-100.969,-5.854
-15.7,-103.847,-6.186
-15.67,-106.9,-6.472
-15.63,-109.813,-6.724
-15.6,-112.796,-7.137
-15.57,-115.955,-7.492
-15.54,-119.043,-7.698
-15.5,-121.991,-7.973
-15.47,-124.834,-8.294
-15.44,-127.852,-8.626
-15.41,-130.94,-8.912
-15.37,-134.064,-9.302
-15.34,-137.187,-9.508
-15.31,-140.065,-9.749
-15.28,-143.048,-10.161
-15.24,-146.031,-10.459
-15.21,-149.049,-10.86
-15.18,-152.032,-11.261
-15.14,-154.98,-11.547
-15.11,-157.928,-11.902
-15.08,-160.841,-12.154
-15.05,-163.719,-12.429
-15.01,-166.457,-12.647
-14.98,-169.299,-12.956
-14.95,-172.037,-13.174
-14.92,-174.599,-13.288
-14.88,-177.301,-13.747
-14.85,-180.214,-14.056
-14.82,-182.846,-14.182
-14.79,-185.443,-14.434
-14.75,-188.04,-14.617
-14.72,-190.392,-14.686
-14.69,-192.673,-14.904
-14.66,-195.059,-15.156
-14.62,-197.305,-15.19
-14.59,-199.516,-15.408
-14.56,-201.868,-15.637
-14.53,-204.044,-15.591
-14.49,-205.974,-15.728
-14.46,-208.009,-15.877
-14.43,-210.01,-15.9
-14.4,-211.905,-16.118
-14.36,-213.835,-16.278
-14.33,-215.871,-16.404
-14.3,-217.871,-16.507
-14.27,-219.696,-16.656
-14.23,-221.346,-16.84
-14.2,-223.03,-17.023
-14.17,-225.031,-17.126
-14.14,-226.75,-17.218
-14.1,-228.47,-17.332
-14.07,-230.19,-17.538
-14.04,-231.944,-17.756
-14.01,-233.594,-17.905
-13.97,-235.103,-18.111
-13.94,-236.542,-18.214
-13.91,-238.121,-18.398
-13.87,-239.911,-18.65
-13.84,-241.595,-18.707
-13.81,-243.14,-18.97
-13.78,-244.403,-19.131
-13.74,-245.596,-19.177
-13.71,-246.965,-19.452
-13.68,-248.544,-19.543
-13.65,-249.843,-19.612
-13.61,-251.106,-19.921
-13.58,-252.51,-20.104
-13.55,-254.019,-20.23
-13.52,-255.283,-20.494
-13.48,-256.546,-20.666
-13.45,-257.669,-20.769
-13.42,-258.652,-20.861
-13.39,-259.74,-21.055
-13.35,-260.898,-21.25
-13.32,-262.056,-21.376
-13.29,-263.319,-21.582
-13.26,-264.442,-21.788
-13.22,-265.636,-21.995
-13.19,-266.829,-22.109
-13.16,-267.776,-22.292
-13.13,-268.759,-22.51
-13.09,-269.917,-22.705
-13.06,-271.146,-22.968
-13.03,-272.339,-23.14
-13.0,-273.286,-23.381
-12.96,-274.164,-23.553
-12.93,-274.971,-23.587
-12.9,-275.813,-23.793
-12.87,-276.585,-24.034
-12.83,-277.463,-24.011
-12.8,-278.235,-24.022
-12.77,-278.796,-24.08
-12.73,-279.463,-24.24
-12.7,-280.165,-24.297
-12.67,-280.656,-24.354
-12.64,-281.007,-24.469
-12.6,-281.218,-24.412
-12.57,-281.604,-24.503
-12.54,-282.095,-24.526
-12.51,-282.411,-24.4
