Trigger_Date,2023/06/15
Trigger_Time,T 17:42:36.202 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.567
Time (ms),Voltage (V),Current (A)
-16.67,3.439,-0.263
-16.64,-0.912,-0.263
-16.61,-4.597,-0.195
-16.58,-7.405,-0.206
-16.54,-9.616,-0.378
-16.51,-11.617,-0.664
-16.48,-13.968,-1.111
-16.45,-16.986,-1.638
-16.41,-20.531,-2.177
-16.38,-24.461,-2.623
-16.35,-28.883,-3.024
-16.32,-33.867,-3.242
-16.28,-38.219,-3.299
-16.25,-41.763,-3.517
-16.22,-45.132,-3.712
-16.19,-48.291,-3.746
-16.15,-51.485,-4.021
-16.12,-55.415,-4.399
-16.09,-59.521,-4.582
-16.06,-63.382,-4.72
-16.02,-66.821,-4.949
-15.99,-70.085,-5.155
-15.96,-73.244,-5.304
-15.93,-76.262,-5.464
-15.89,-79.596,-5.739
-15.86,-83.246,-6.003
-15.83,-86.931,-6.209
-15.79,-90.405,-6.415
-15.76,-93.81,-6.667
-15.73,-97.003,-6.816
-15.7,-99.776,-6.954
-15.66,-102.267,-7.045
-15.63,-104.478,-7.194
-15.6,-106.865,-7.354
-15.57,-109.462,-7.538
-15.53,-112.901,-8.019
-15.5,-116.797,-8.305
-15.47,-120.447,-8.42
-15.44,-123.57,-8.718
-15.4,-127.22,-9.027
-15.37,-130.975,-9.268
-15.34,-134.485,-9.382
-15.31,-137.749,-9.577
-15.27,-140.837,-9.749
-15.24,-144.417,-10.012
-15.21,-147.786,-10.184
-15.18,-150.523,-10.138
-15.14,-152.594,-10.241
-15.11,-155.086,-10.562
-15.08,-158.279,-10.78
-15.05,-161.613,-10.94
-15.01,-164.842,-11.146
-14.98,-167.86,-11.364
-14.95,-170.668,-11.467
-14.92,-173.055,-11.524
-14.88,-175.16,-11.639
-14.85,-177.547,-11.788
-14.82,-180.214,-11.983
-14.79,-183.478,-12.28
-14.75,-187.128,-12.613
-14.72,-190.883,-12.796
-14.69,-193.936,-12.91
-14.65,-196.638,-13.014
-14.62,-198.99,-13.105
-14.59,-201.201,-13.162
-14.56,-203.412,-13.197
-14.52,-205.588,-13.3
-14.49,-207.869,-13.472
-14.46,-210.01,-13.518
-14.43,-211.624,-13.552
-14.39,-212.923,-13.586
-14.36,-214.081,-13.644
-14.33,-215.379,-13.678
-14.3,-216.888,-13.838
-14.26,-218.713,-14.113
-14.23,-221.065,-14.365
-14.2,-223.627,-14.56
-14.17,-226.224,-14.743
-14.13,-228.329,-14.892
-14.1,-230.049,-14.892
-14.07,-231.418,-14.915
-14.04,-233.173,-15.121
-14.0,-235.384,-15.213
-13.97,-237.56,-15.282
-13.94,-239.665,-15.431
-13.91,-241.35,-15.465
-13.87,-242.578,-15.511
-13.84,-244.087,-15.522
-13.81,-245.631,-15.648
-13.78,-246.86,-15.591
-13.74,-248.193,-15.774
-13.71,-250.053,-15.912
-13.68,-252.44,-16.141
-13.65,-255.142,-16.393
-13.61,-257.213,-16.393
-13.58,-258.231,-16.278
-13.55,-259.389,-16.324
-13.52,-261.108,-16.473
-13.48,-263.214,-16.507
-13.45,-264.899,-16.588
-13.42,-266.618,-16.737
-13.38,-268.338,-16.759
-13.35,-269.531,-16.645
