Date Time,Voltage RMS Min (V),Voltage RMS Avg (V),Voltage RMS Max (V),Current RMS Min (A),Current RMS Avg (A),Current RMS Max (A),Real Power Min (kW),Real Power Avg (kW),Real Power Max (kW),Reactive Power Min (kVAR),Reactive Power Avg (kVAR),Reactive Power Max (kVAR),Apparent Power Min (kVA),Apparent Power Avg (kVA),Apparent Power Max (kVA),Frequency Min (Hz),Frequency Avg (Hz),Frequency Max (Hz)
2023/06/28 10:06:00,192.6,201.5,207.6,0.504,17.183,30.724,0.0,3.329,6.014,-0.37,-0.201,0.408,0.104,3.417,6.019,59.983,59.995,60.007
2023/06/28 10:07:00,196.7,197.3,197.9,27.94,29.074,29.796,5.545,5.734,5.872,-0.184,-0.17,-0.16,5.55,5.738,5.877,60.004,60.013,60.022
2023/06/28 10:08:00,196.8,197.3,197.9,28.33,29.063,29.865,5.6,5.731,5.883,-0.179,-0.17,-0.16,5.604,5.735,5.886,60.007,60.017,60.032
2023/06/28 10:09:00,196.6,197.2,197.9,28.158,29.063,29.956,5.57,5.73,5.88,-0.18,-0.17,-0.16,5.573,5.734,5.882,60.006,60.016,60.027
2023/06/28 10:10:00,196.4,197.0,197.6,28.158,29.063,29.933,5.557,5.722,5.893,-0.181,-0.169,-0.158,5.561,5.726,5.897,60.005,60.014,60.03
2023/06/28 10:11:00,196.5,197.0,197.5,28.226,29.063,29.83,5.572,5.724,5.866,-0.178,-0.169,-0.16,5.577,5.728,5.871,59.991,60.006,60.018
2023/06/28 10:12:00,196.4,196.9,197.4,28.135,29.074,29.922,5.549,5.723,5.88,-0.18,-0.169,-0.158,5.554,5.727,5.884,59.988,59.999,60.018
2023/06/28 10:13:00,196.1,196.8,197.3,28.307,29.074,29.922,5.578,5.72,5.878,-0.177,-0.169,-0.157,5.583,5.724,5.881,59.985,60.0,60.019
2023/06/28 10:14:00,196.1,196.8,197.5,28.215,29.086,29.922,5.559,5.722,5.879,-0.179,-0.168,-0.159,5.563,5.726,5.884,59.983,59.998,60.007
2023/06/28 10:15:00,196.2,196.8,197.5,28.158,29.086,29.83,5.554,5.725,5.864,-0.18,-0.168,-0.16,5.558,5.729,5.867,59.978,60.0,60.014
2023/06/28 10:16:00,196.1,196.7,197.3,28.181,29.086,29.865,5.546,5.72,5.861,-0.179,-0.168,-0.16,5.55,5.724,5.865,59.978,59.998,60.015
2023/06/28 10:17:00,196.2,196.6,197.2,28.204,29.109,29.853,5.546,5.722,5.855,-0.179,-0.168,-0.159,5.551,5.726,5.86,59.972,59.984,59.993
2023/06/28 10:18:00,196.1,196.6,197.2,28.089,29.12,30.048,5.543,5.723,5.886,-0.179,-0.167,-0.156,5.547,5.726,5.888,59.976,59.982,59.989
2023/06/28 10:19:00,195.8,196.5,197.1,28.192,29.131,29.888,5.554,5.721,5.854,-0.179,-0.167,-0.159,5.559,5.724,5.858,59.965,59.982,59.993
2023/06/28 10:20:00,195.8,196.4,197.0,28.295,29.131,29.888,5.558,5.718,5.85,-0.175,-0.166,-0.156,5.562,5.722,5.854,59.963,59.976,59.984
2023/06/28 10:21:00,195.7,196.3,197.0,28.135,29.131,30.151,5.541,5.717,5.89,-0.177,-0.166,-0.158,5.547,5.72,5.894,59.968,59.988,60.01
2023/06/28 10:22:00,195.8,196.3,197.0,28.169,29.143,29.693,5.547,5.719,5.82,-0.178,-0.166,-0.159,5.551,5.722,5.823,59.983,59.991,60.006
2023/06/28 10:23:00,195.8,196.4,197.1,28.272,29.131,29.647,5.566,5.72,5.817,-0.178,-0.166,-0.158,5.57,5.724,5.821,59.984,59.994,60.0
2023/06/28 10:24:00,195.6,196.1,196.8,28.146,29.131,29.933,5.53,5.713,5.843,-0.179,-0.165,-0.156,5.535,5.716,5.847,59.98,59.995,60.006
2023/06/28 10:25:00,195.6,196.2,196.8,28.272,29.143,29.681,5.546,5.716,5.817,-0.176,-0.165,-0.159,5.549,5.72,5.819,59.979,59.995,60.004
2023/06/28 10:26:00,195.7,196.1,196.8,28.284,29.154,29.796,5.555,5.716,5.828,-0.177,-0.164,-0.156,5.559,5.721,5.83,59.975,59.983,59.992
2023/06/28 10:27:00,195.6,196.1,196.7,28.215,29.131,29.819,5.535,5.709,5.831,-0.176,-0.164,-0.157,5.538,5.714,5.835,59.964,59.975,59.986
2023/06/28 10:28:00,195.2,196.0,198.7,28.135,29.131,29.784,5.531,5.706,5.895,-0.182,-0.164,-0.155,5.537,5.711,5.9,59.968,59.977,59.983
2023/06/28 10:29:00,197.7,198.2,198.7,28.272,29.051,29.876,5.616,5.755,5.901,-0.18,-0.172,-0.163,5.621,5.76,5.905,59.962,59.976,59.993
2023/06/28 10:30:00,197.6,199.0,199.8,28.33,29.074,29.819,5.644,5.783,5.924,-0.185,-0.175,-0.163,5.649,5.788,5.928,59.973,59.982,59.992
2023/06/28 10:31:00,196.4,197.9,199.6,28.169,29.109,29.876,5.548,5.756,5.931,-0.183,-0.171,-0.16,5.552,5.761,5.935,59.981,59.986,59.998
2023/06/28 10:32:00,196.3,196.9,197.6,28.238,29.131,29.899,5.571,5.733,5.876,-0.177,-0.167,-0.16,5.575,5.738,5.881,59.982,59.994,60.004
2023/06/28 10:33:00,196.2,196.7,197.3,28.192,29.143,29.762,5.55,5.73,5.842,-0.179,-0.166,-0.159,5.556,5.734,5.846,59.985,59.994,60.005
2023/06/28 10:34:00,196.2,196.7,197.4,28.169,29.131,29.681,5.569,5.729,5.837,-0.176,-0.166,-0.158,5.572,5.733,5.841,59.965,59.98,60.002
2023/06/28 10:35:00,196.4,196.8,197.6,28.181,29.143,29.739,5.555,5.733,5.839,-0.178,-0.167,-0.16,5.558,5.738,5.844,59.962,59.976,59.985
