Trigger_Date,2023/06/28
Trigger_Time,T 10:07:11.227 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.544
Time (ms),Voltage (V),Current (A)
-16.66,1.895,2.807
-16.63,5.685,4.135
-16.6,8.774,4.903
-16.56,12.529,5.315
-16.53,16.951,5.292
-16.5,21.935,5.327
-16.47,27.094,5.556
-16.43,32.077,5.396
-16.4,36.429,5.098
-16.37,39.938,5.029
-16.34,42.711,5.224
-16.3,45.062,5.716
-16.27,47.273,6.415
-16.24,49.239,7.137
-16.21,51.309,7.813
-16.17,53.625,8.466
-16.14,56.117,9.107
-16.11,58.855,9.794
-16.08,62.013,10.505
-16.04,65.523,11.341
-16.01,69.418,12.074
-15.98,73.524,12.578
-15.95,77.525,12.979
-15.91,81.561,13.414
-15.88,85.457,13.884
-15.85,89.212,14.377
-15.82,93.037,14.823
-15.78,96.652,15.213
-15.75,99.916,15.637
-15.72,102.969,15.98
-15.69,105.988,16.347
-15.65,108.795,16.828
-15.62,111.673,17.367
-15.59,114.445,17.859
-15.56,117.358,18.386
-15.52,120.447,19.108
-15.49,123.535,19.566
-15.46,126.624,19.967
-15.43,129.922,20.586
-15.39,133.362,20.964
-15.36,136.485,21.353
-15.33,139.749,21.834
-15.3,142.802,22.178
-15.26,145.61,22.419
-15.23,148.312,22.774
-15.2,150.734,22.865
-15.17,152.875,23.014
-15.13,154.875,23.381
-15.1,156.841,23.736
-15.07,158.911,24.217
-15.04,161.298,24.893
-15.0,163.824,25.431
-14.97,166.667,26.004
-14.94,169.756,26.6
-14.9,172.949,27.092
-14.87,176.248,27.677
-14.84,179.828,28.295
-14.81,183.478,28.639
-14.77,187.128,29.028
-14.74,190.532,29.292
-14.71,193.655,29.292
-14.68,196.112,29.441
-14.64,198.428,29.693
-14.61,200.359,29.807
-14.58,202.078,30.025
-14.55,203.622,30.288
-14.51,205.026,30.426
-14.48,206.149,30.621
-14.45,207.237,30.815
-14.42,208.22,30.999
-14.38,209.413,31.48
-14.35,210.922,31.938
-14.32,212.396,32.236
-14.29,214.362,32.786
-14.25,216.678,33.233
-14.22,218.889,33.347
-14.19,221.135,33.588
-14.16,223.311,33.828
-14.12,225.522,33.966
-14.09,227.592,34.298
-14.06,229.733,34.584
-14.03,231.734,34.768
-13.99,233.664,35.1
-13.96,235.419,35.214
-13.93,237.068,35.329
-13.9,238.612,35.558
-13.86,239.946,35.707
-13.83,241.315,35.844
-13.8,242.719,36.2
-13.77,244.228,36.52
-13.73,245.737,36.852
-13.7,247.386,37.196
-13.67,249.071,37.379
-13.64,250.755,37.62
-13.6,252.545,37.895
-13.57,254.265,38.021
-13.54,255.809,38.239
-13.51,257.704,38.525
-13.47,259.389,38.662
-13.44,260.863,38.708
-13.41,262.126,38.846
-13.38,263.319,38.949
-13.34,264.478,39.086
-13.31,265.39,39.224
-13.28,266.267,39.315
-13.25,267.25,39.556
-13.21,268.303,39.911
-13.18,269.461,40.129
-13.15,270.724,40.392
-13.12,272.058,40.553
-13.08,273.392,40.667
-13.05,274.76,40.828
-13.02,276.129,41.103
-12.98,277.533,41.24
-12.95,278.761,41.274
-12.92,279.814,41.251
-12.89,280.656,41.217
-12.85,281.183,41.194
-12.82,281.639,41.171
-12.79,281.955,41.263
-12.76,282.306,41.481
-12.72,282.622,41.561
-12.69,282.938,41.584
-12.66,283.148,41.584
-12.63,283.324,41.515
-12.59,283.569,41.664
-12.56,283.745,41.629
-12.53,284.271,42.053
-12.5,284.868,42.156
-12.46,285.219,41.95
-12.43,285.675,42.042
-12.4,286.061,42.053
-12.37,286.166,41.778
-12.33,285.991,41.503
-12.3,285.535,41.355
-12.27,285.008,41.32
-12.24,284.377,41.251
-12.2,283.604,41.125
-12.17,282.727,40.988
-12.14,281.674,40.862
-12.11,280.621,40.61
-12.07,279.288,40.381
-12.04,278.059,40.278
-12.01,276.796,40.209
-11.98,275.778,40.163
-11.94,274.796,40.117
-11.91,273.708,39.911
-11.88,272.585,39.59
-11.85,271.286,39.361
-11.81,269.882,38.983
-11.78,268.373,38.651
-11.75,266.864,38.559
-11.72,265.32,38.388
-11.68,263.881,38.239
-11.65,262.477,38.216
-11.62,261.073,37.964
-11.59,259.74,37.631
-11.55,258.301,37.471
-11.52,256.792,37.219
-11.49,255.458,36.979
-11.46,253.949,36.83
-11.42,252.51,36.589
-11.39,251.212,36.383
-11.36,249.597,36.062
-11.33,247.667,35.661
-11.29,245.912,35.363
-11.26,244.052,35.134
-11.23,241.946,34.71
-11.2,239.876,34.458
-11.16,238.051,34.447
-11.13,236.05,34.195
-11.1,234.261,33.931
-11.06,232.576,33.714
-11.03,230.681,33.416
-11.0,229.031,33.164
-10.97,227.312,32.855
-10.93,225.381,32.602
-10.9,223.767,32.476
-10.87,222.328,32.27
-10.84,220.433,31.766
-10.8,218.538,31.365
-10.77,216.853,31.285
-10.74,214.993,31.033
-10.71,213.379,30.907
-10.67,211.87,30.735
-10.64,210.22,30.575
-10.61,208.817,30.392
-10.58,207.202,29.888
-10.54,205.061,29.338
-10.51,203.026,28.948
-10.48,200.71,28.364
-10.45,198.007,27.94
-10.41,195.48,27.78
-10.38,193.129,27.493
-10.35,190.532,27.23
-10.32,188.216,27.001
-10.28,185.97,26.52
-10.25,183.337,26.096
-10.22,180.775,25.764
-10.19,178.389,25.374
-10.15,175.757,25.065
-10.12,173.37,24.79
-10.09,171.019,24.228
-10.06,168.317,23.77
-10.02,165.544,23.404
-9.99,162.842,22.785
-9.96,159.824,22.304
-9.93,156.841,22.075
-9.89,154.173,21.662
-9.86,151.225,21.261
-9.83,148.172,20.803
-9.8,145.364,20.345
-9.76,142.381,19.887
-9.73,139.258,19.474
-9.7,136.345,19.005
-9.67,133.572,18.65
-9.63,130.73,18.432
-9.6,128.203,17.928
-9.57,125.571,17.504
-9.54,122.693,17.241
-9.5,120.166,16.771
-9.47,117.323,16.175
-9.44,114.024,15.683
-9.41,111.217,15.224
-9.37,108.269,14.629
-9.34,104.829,14.022
-9.31,101.53,13.472
-9.27,97.986,12.842
-9.24,94.055,12.269
-9.21,90.3,11.719
-9.18,86.475,11.055
-9.14,82.263,10.551
-9.11,78.578,10.047
-9.08,74.928,9.497
-9.05,70.822,9.096
-9.01,67.383,8.775
-8.98,64.259,8.305
-8.95,60.75,7.881
-8.92,57.556,7.446
-8.88,54.678,6.919
-8.85,51.45,6.449
-8.82,48.326,5.991
-8.79,45.273,5.361
-8.75,41.869,4.846
-8.72,38.57,4.422
-8.69,35.376,3.895
-8.66,31.726,3.345
-8.62,28.111,2.852
-8.59,24.532,2.245
-8.56,20.601,1.661
-8.53,16.495,1.18
-8.49,12.354,0.802
-8.46,8.142,0.47
-8.43,3.58,0.206
-8.4,0.07,-0.034
-8.36,-0.421,-1.123
-8.33,-2.281,-2.749
-8.3,-5.615,-3.677
-8.27,-7.861,-4.284
-8.23,-10.739,-4.823
-8.2,-14.88,-5.189
-8.17,-19.864,-5.453
-8.14,-25.549,-5.682
-8.1,-30.989,-5.625
-8.07,-35.867,-5.212
-8.04,-39.728,-4.823
-8.01,-42.36,-4.949
-7.97,-44.781,-5.51
-7.94,-47.273,-6.175
-7.91,-49.203,-6.873
-7.88,-50.993,-7.664
-7.84,-53.415,-8.305
-7.81,-55.696,-8.981
-7.78,-58.398,-9.794
-7.75,-61.732,-10.528
-7.71,-65.347,-11.272
-7.68,-69.173,-12.04
-7.65,-73.384,-12.544
-7.62,-77.49,-13.025
-7.58,-81.491,-13.552
-7.55,-85.913,-13.907
-7.52,-89.563,-14.285
-7.49,-92.967,-14.823
-7.45,-96.898,-15.259
-7.42,-100.267,-15.534
-7.39,-102.759,-15.923
-7.35,-105.812,-16.37
-7.32,-108.69,-16.782
-7.29,-111.076,-17.332
-7.26,-114.024,-17.939
-7.22,-117.183,-18.569
-7.19,-120.096,-19.154
-7.16,-123.325,-19.612
-7.13,-126.799,-20.196
-7.09,-129.922,-20.723
-7.06,-133.432,-21.101
-7.03,-137.222,-21.708
-7.0,-140.205,-21.96
-6.96,-143.575,-22.338
-6.93,-146.838,-22.602
-6.9,-149.225,-22.797
-6.87,-151.962,-23.243
-6.83,-154.805,-23.656
-6.8,-156.981,-24.034
-6.77,-159.438,-24.549
